screen_name,friends_count,tweets_count,linkedin,snapchat,instagram,facebook,followers_count,favourites_count,qtyMentions,qtyHashtags,qtyUrls,qtyEmojis,qtyUppercase,profile_pic_gender,age
juanmusumeci07,887,48429,0,0,0,0,1318,8554,0.24,0.01,0.03,0.1,3.34,1,10-17
ampii_sola,871,45925,0,0,0,0,2466,12552,0.25,0.01,0.05,1.13,1.85,0,10-17
dianamateos10,830,22982,0,0,0,0,965,3114,0.07,0.0,0.02,0.62,1.37,0,10-17
julidorado15,843,22032,0,0,0,0,981,2919,0.04,0.12,0.01,1.08,1.57,0,10-17
lucrerusa2,398,2692,0,0,0,0,602,3395,0.24,0.05,0.05,0.96,2.52,0,10-17
_brisa17abigail,491,7085,0,0,0,0,403,12053,0.14,0.02,0.09,0.49,1.71,0,10-17
zoyasanchez,378,3873,0,0,0,0,295,1468,0.06,0.03,0.07,0.4,1.4,0,10-17
ro_castiglioni,591,1095,0,0,0,0,120,935,1.13,2.51,0.04,0.95,13.21,2,10-17
carolina__01,972,38978,0,0,0,0,927,8005,0.21,0.0,0.1,0.43,0.97,2,10-17
roominalucia,217,19471,0,0,0,0,412,1597,0.08,0.0,0.1,0.47,2.13,0,10-17
lucasilva016,541,19277,0,0,0,0,1240,2545,0.04,0.0,0.01,0.23,1.02,1,10-17
rubiaaaenana,3603,26963,0,0,0,0,3411,6438,0.05,0.01,0.04,0.88,1.41,0,10-17
candelarodrgu13,137,1399,0,0,0,0,69,220,0.04,0.0,0.01,1.67,1.15,2,10-17
liilu_franco,1053,43004,0,0,0,0,1270,10235,0.25,0.0,0.18,0.15,0.8,0,10-17
yanella_salatto,15,18,0,0,0,0,3,44,0.44,0.06,0.06,2.5,1.13,1,10-17
tomii0410,554,42681,0,0,0,0,5337,13160,0.61,0.45,0.18,0.36,4.72,1,10-17
jhohanaaaam,616,11024,0,0,0,0,862,4001,0.23,0.0,0.07,0.3,1.24,2,10-17
clauditah_nn,28,1170,0,0,0,0,58,2494,0.65,0.21,0.28,0.62,2.89,0,10-17
francocairo02,169,5329,0,0,0,0,533,613,0.16,0.07,0.12,0.06,1.06,0,10-17
facuufrancese5,848,21904,0,0,0,0,1114,10085,0.32,0.27,0.36,0.49,1.98,1,10-17
enzosantander14,518,9566,0,0,0,0,585,7765,0.55,0.0,0.06,1.12,1.28,1,10-17
leogomez9999,490,28764,0,0,0,0,739,4271,0.36,0.04,0.02,1.05,1.21,1,10-17
015edith,178,1611,0,0,0,0,181,2244,0.29,0.01,0.07,1.16,2.71,2,10-17
