screen_name,subscriptionLists,age
ncampos,CMil3UB. e-administracion. ogov. Open Government. gurus,35-49
mfeijoo,correspondents_in_spain. Spanish_Journalists,35-49
a_valenzuela,Divulgadoras en YouTube. Equipo El Independiente. European science marches. Twistance. ScienceWriters on Twitter. iRedes VI. MuseumMascots. Science Artists. EL PAIS Corresponsales. CentrosTerritoriales RTVE. astronauts. NYT-Science-Section. institucioncsic,35-49
srouvier,Deportistas Argentinos. Mayo1810,35-49
maripuchi,Events MICE. TEDxVitoriaGasteiz 2018. www.ibarrondo.es. - World Innovations Forum. memecracia. Aprendices. Twistance. TEDSummit 2016. daCunha. Master Social Media Álava. TEDx-ers-in-Geneva. GetxoBlog. US National Park Service. Inlugo. Queridos científicos. . Crisis comuni online. AERCO. IntraEmprendedoras. Delegados AERCO-PSM. Ponentes PolíticaRedes. Aerco-PSM. SocialMedia. Delegados. SocialMedia. AERCO. Empotreitors Speakers. Social Media . Influyentes_de_Twitter. Molan mil. Influencers. unadocenade. Políticos vascos. OpenGoverment. Dones feministes. Editoriales españolas. Mujeres_Igualdad. oficials. EuskoJaurlaritza. EiTB taldea - grupo. eGov-oGov. politicosvascos-pp. For CM. Gouvernement. World Leaders. TwittersferaPublica. EL PAIS. new-pol. reutilizadores opendata. Socialistas Vascos. info,35-49
jsanchezfranco,Dircoms 2016-17. Comunicadores. ehealth. Sanidad. salud,35-49
sboxcoaching,Coaching español. Gente con éxito. Gente-con-éxito,35-49
mabelbullon,Valencia,35-49
javierbri,Customer Experience. CX. Socialholic. cem. contactcenter,35-49
jesusferre,Radar. univs-cat-estr. Pauls. ebre. alcanar. Ulldecona. Ulldecona. Rapitencs i rapitenques. Deltebre. TTEE. TTEE. Ebre. ebre. twittebre. Esquerra Republicana. ebre. Ebresfera,35-49
maitefinch,Siembran paz y alegría. Grandes ideas Valencia. superfollowers-topmention. Coaching. Coaching. Compañeros_RRHH. Formación,35-49
nagodelos,Perfiles de mujeres AAPP,35-49
ginesalarcon,correspondents_in_spain. JuntsPelSi. Embassies/Offices US & UN,35-49
felixbernet,Retos foteros. ex-yacoms. SocialMedia. Asistencia Virtual. Asistentes Virtuales. apple,35-49
moveiter,mobilitat. Mobilité - Mobility. Mondial/Global. urban mobility transport,35-49
vanis,CongresoBA2015. Corresponsales Monitoreo. Cmper2013,35-49
josetrecet,Soluciono problemas. Contabilidad. Contabilidad,35-49
silviacobo,EP en twitter. Nosotros. Nosotros. LISTA #PERIODISMOEMPRENDE. EL PAIS. directoresmedios. MediaThinkers. UK Media journos. catalan-journalists,35-49
pfcdgayo,Authors. compsocial. folks,35-49
helenaresano,Elecciones EEUU 2016,35-49
biogeocarlos,personas. te conozco en persona. medioambientales,35-49
pep_jimenez,Equipo de Finanzas.com. BLOGGERS. periodistas_medios. periodistas económicos. Economia,35-49
quiquemateuvlc,Emprendedores. Referentes Social Media. Social 2.0. Referentes Social Media,35-49
mrgomezponce,periodistas-elpais. edu-conferences. Chicas-SEO. Seminario Cultura Web 2.0. periodistas. Medios argentinos. periodismo. journalists. Zaragoza,35-49
jesusencinar,idealistas,35-49
jordimirobruix,CTOs Spain. Mixsic. agencias-ve. team. feedtrace team,35-49
carmechaparro,govern2016. DUI20171010. La_derecha,35-49
monicamoro,Talent Girls. sherpas20. Esgrima. Health Marketing. Docs. CBS1. Medicina/Salud. art of fencing,35-49
juanant_galindo,Referentes Social Media. trendsetters. IECommunity. Burberry Regional. Social Media Valencia. IETECHSTARTUP. cursocmupv. SM Companies. politicos. SEO/SEM. Campus Party. periodistas. Social Media,35-49
evacolladoduran,"Pontenvalor Madrid. #PBLabDay16. Los de Eva. Empleo. Encuentro RRHHmad. personal. Profesionales RRHH. Otros contactos. RRHH personas. Social Media. RRHH. Community Manager. SocialStars. RRHH. The very best. Social Media y Marketing. Marketeras. Social Media y Marketing. TL. Libertad financiera2. SocialMedia. Internet. Marketing. Negocios. the good ones. SocialMedia. RECURSOS HUMANOS. Publicidad. SocialMedia. Marketing. España. Diario. RRHH ESTRATEGIAS. RRHH. Empresas #in. RRSS. RRHH. social-media-referals. zyncronizados-2. MISCELANEA. Marketing. RRHH. Favoritos. Mundo digital. empleo 2.0 - interesantes. Recursos humanos. Redes. Social Media. FANS. compañer@s trabajo. Venca_Territorio Creativo. equipo redes. Gastronomia y Redes. Comunicación 2.0. Tendencias. social media. a1.-RRHH. NOTICIAS IT. Comunica - CEO. RRHH. lista_shotools. HR. cloud computing. Rrhh, Productivdad. Español. Interes. Social media. RECURSOSHUMANOS. emprendedores y cocina. RRHH: Profesionales. Amigos20. Escriben sobre trabajo. Recursos de Empleo. RR.HH. Interesante. ereaders. profesionales. web. Comunicación. Marketing Online. RH. RRHH. RRHH. RRHH. RedesSociales. Social Media 2.0. empresa. Marketing. RRHH. Formación Coaching. recursos humanos. RRHH. rrhh. RRHH-y-Educación. RRHH y  gestion. RRHH. Barcelona. JOB. RRHH. rrhh. formacion. rrhh",35-49
elenhitaes,"Redacción El Mundo. Economía, Viv., Innov. ",35-49
pilarroch,"Gurús del emprendimiento. Era Digital. Social Media. inversores. women entrepreneurs. Forbes.Women. Accelerators, BAs & VCs. BusinessWomen. innovation. entrepreneurs&investors. Comunity",35-49
worldreaders,Social Media News. WBed. Speakers for #CGI2016. Non-profits. ICT4D. tech4good. Influencers in Africa. draper richards. ebook. Organizations. Literacy Champions. publishing_innovators,35-49
hector_cabrera_,TIC,35-49
fernand0,DIIS UZ PDI y PAS. IDiA,35-49
nataliagomez_es,Management. Comunicación & Marketing. conciliacion. DF. Coaching_Consultoría_Form,35-49
lourdesmunoz,womanlidertic. Políticos. Corts Generals. Medios. Partidos políticos España. manifiesto-reunion. donesenxarxa,35-49
almarro1,Sabien,35-49
granero,misterios-y-varios. juegos. Tecnologia,35-49
aliciapomares,EatsAndTwittsDAY_MAD_RRHH. Directores de RRHH. Charlando de Social Media. RHTWITT. innovation. santcugatencs. coaching. TERTULIAS-ENTRE-AMIGOS,35-49
msconcu,Talent Girls. Positrones,35-49
gabiplanas_rrhh,IE on the Web,35-49
billiesastre,Compettia Team. Equipo ComTA. Equipo SM TA2013. Academia TA 2013. superfollowers-topmention,35-49
arangocoaching,Coaching. UnaActitudPositiva. Encuentro RRHHmad,35-49
pcvillarcayo,equo,35-49
carlosguadian,SesiónDeControl. XarxaSocialista. oficials. GobCampEs. gov20. OGD. gov. blogosfera_publica,35-49
tereamor,PerspectivasWellcomm2017. Women&economics. tk. Desarrollo de Audiencia. Journalism. Ofertas de trabajo. Economists. Gente SOLeada. Periodistas Madrid. Alumni 101,35-49
manuelgimnez,Empleo nacional. TIC,35-49
e_valero,CursoWeb20-RedesSociales,35-49
carmengelices,FECEMD,35-49
crisalonsofran,BusinessWomen. women entrepreneurs. Forbes.Women. MujeresPunteras,35-49
hacheromero,PeriodistesIB. androide. periodisme+com IB . Agencias. Palma de Mallorca. Editoriales españolas. Bloggers,35-49
luismiguelcas,BigData. Lectura recomendada. Social Media. Social Media. Taurinos. TOROS. toros-y-toreros. ECUESTRES. Twitteros Favoritos. MATADORES. AFICIONADOS. GANADERIAS. MEDIOS TARUINOS. Periodistas. Toros. Televisalondres. Noticias. PERIODISTAS. Noticias. horsesinformacion. Noticias. Vialidad,35-49
tinofernandez,Periodistas/Comunicadores. Periodistas. periodistas nacionales. Periodistas. Empleo y Empleabilidad. Medios. periodismo-comunicacion. Friends. Clever People. Enredadores. Economía. Periodismo. Periodismo. Imprescindibles. Lecturas interesantes. Prensa-TV. interesante1. Prensa rrhh. HR stuff. periodistas. Design. eventos-org-agencias. W-D. periodistas. firmasuUnidadEditorial. media-journalists. xyz. TERTULIAS-ENTRE-AMIGOS. Periodismo. Prensa. Mediascopio. Periodismo. MEDIOS/PERIODISTAS. Unidad Editorial. negocio,35-49
iescolar,Diputados XI Legislatura. Candidatos PP. Elecciones Europeas 2014. firmas de eldiarioes,35-49
martarodrigueza,Inbound MK. DigitalTransformation. omnicanal. Innovation evangelists. Inbound-english. UX,35-49
mapriconfcalsa,Instituciones Tecnicas. campo. Agropecuario. Glifosato,35-49
