screen_name,subscriptionLists,age
maitefinch,siembran paz y alegría. grandes ideas valencia. superfollowers-topmention. coaching. coaching. compañeros_rrhh. formación,35-49
naturalvoyager,lectura recomendada. top 5k - tecnología. turismo. más cine por favor. twitteros en mallorca. amadeus on twitter. unicef. turismo. turismo. nos gusta el turismo!. turismo. hablando sobre turismo. amics. tourism bodies. travel. tourismus-int. european twitter list. countries/cites/islands. destinations marketing . travel blogs. turismo rural. ogov. turismo. tourism_colleagues. leisure/tourism,50-xx
jsanchezfranco,dircoms 2016-17. comunicadores. ehealth. sanidad. salud,35-49
maripuchi,events mice. tedxvitoriagasteiz 2018. www.ibarrondo.es. - world innovations forum. memecracia. aprendices. twistance. tedsummit 2016. dacunha. master social media Álava. tedx-ers-in-geneva. getxoblog. us national park service. inlugo. queridos científicos. . crisis comuni online. aerco. intraemprendedoras. delegados aerco-psm. ponentes políticaredes. aerco-psm. socialmedia. delegados. socialmedia. aerco. empotreitors speakers. social media . influyentes_de_twitter. molan mil. influencers. unadocenade. políticos vascos. opengoverment. dones feministes. editoriales españolas. mujeres_igualdad. oficials. euskojaurlaritza. eitb taldea - grupo. egov-ogov. politicosvascos-pp. for cm. gouvernement. world leaders. twittersferapublica. el pais. new-pol. reutilizadores opendata. socialistas vascos. info,35-49
jalguerrero,ciencia,50-xx
hectormilla,vr is the future . vr gurus. realidad virtual. video startups. rcde,50-xx
meluu58,casi Ángeles. famosos,10-17
ezequielherraiz,untinto,10-17
joancmarch,"bioetica. publicaciones/periodistas. salud. mis seguidos. conversationlist. sm-health. seguidos. concursos. profesionales de la salud. salud. edu. salud. pacientes. tendencias. salud digital. medicas. medblogsandso. top list. chguv - médicos en red. medicine. gestión sanitaria. pensamiento crítico. medicina. sanidad . tic i salut. medular. destinos. granada. seguint-los. profesores. top. docs. salud. salud-health-santé. salud. drogs. inquietudinfinita. salud 2.0. turma_8. health 2.0. easp. blogs-salud. medicina de familia. health mk 2.0. administracion sanitaria. ap. amics i amigues. blogosfera sanitaria. sanidad. comunidad. blogosfera_profesionales. salut. nutrición, pediatía y salud 2.0 . salud 2.0. medicine. granada. health-es. ugr. salud, nutrición, belleza. tecnología y ciencia. informacion_medica. granadin@s. promosalud. doctors & collegues. salud20. sanidad. publichealth. linkedin gestionsanitaria. noticias medicas. bloguera-sanitaria. sanidad. medicina. salud21. abla-ata. csalud. salud20. e-health. salud. salud colaborativa. sanidad twittera. profesionales. ehealth. inmigración/ publichealth. salud 2.0. e-health. medicina/salud. sanidad 2.0. bloggers-twitters-salud. elearning. educacion. salud y gestion. salud. bloggeros_sanidad. mundo sanitario. md & hw. vientos.... sanidad andaluza 2.0. promocion salud. mpysp. la palabra escrita. agenc estud comunicacion. healthcare. medicina. medicina-salud-health. bloggers-twitters-salud. sanidadpersonas",50-xx
ssdiaz19,talissaaguiar,18-24
a_valenzuela,divulgadoras en youtube. equipo el independiente. european science marches. twistance. sciencewriters on twitter. iredes vi. museummascots. science artists. el pais corresponsales. centrosterritoriales rtve. astronauts. nyt-science-section. institucioncsic,35-49
srouvier,deportistas argentinos. mayo1810,35-49
rafadiaz1,mapmakersextraordinarios. rrhh. humanageinstitute - bcn. personas. compañeros_rrhh. encuentro rrhhmad. psicología y coaching. productividad personal,25-34
gomezdelpozuelo,"tech investors. accelerators, bas & vcs. emprendedores. forbes.women. women entrepreneurs. thirtywomen entrepreneurs. businesswomen. social media",50-xx
denumalsam,mendocinos en twitter ✔,10-17
pabloformoso,reactive. uemeros. japan. raileros. suscribimos el manifiesto. manifiesto-reunion,25-34
ncampos,cmil3ub. e-administracion. ogov. open government. gurus,35-49
mmmendieta,#twecos 500. periodistas de cinco días,25-34
sboxcoaching,coaching español. gente con éxito. gente-con-éxito,35-49
byimpactada,harry styles. louis tomlinson. liam payne. niall horan. zayn malik,18-24
mfeijoo,correspondents_in_spain. spanish_journalists,35-49
segundaopor,recycle upcycle revamp,25-34
tomii0410,#teamuru,10-17
dosalmasunamor,my team ,18-24
rossanaduarte1,uruguayos en londres ,10-17
jgarridoo,elche. ilicitanos. iweekend,50-xx
melukawaii123,consumo responsable,10-17
joseplut104,quebec city. montreal. toronto. ottawa. vancouver. tiff15 fest folk,18-24
robcarballo,rsc,50-xx
titatorro,tenistas esp,18-24
heteronima,lab20,25-34
rrebolledo,edtech. curso email marketing. neuromarketing specialist. mktdigital. cm. social media. e-learning-tics. redes sociales. moocs. bloggers educ/docentes. profesionales cm. social media. grupo aulacm. aula cm. aulacm. aula cm 14. aulacm16. aulacm todos. todo aulacm. grupo 15. aulacm-big list,25-34
mabelbullon,valencia,35-49
antoniorull,html5 - css3 - js. ponentes plenarios 2010. multimedia. ebe09. socialmedia. fotografos. fotografia. flickr,25-34
agusvidall2,te amooooooooooooooooo!. amigaaaaaaas ♥,18-24
manushgalvan,profesionales2.0-sm. bloggers. mis gurus particulares,25-34
morenobarber,directoresmedios. scholars and savants. medios,50-xx
perezreverte,imprescindibles,50-xx
leitogioiosa,miramar,10-17
juancarcubeiro,human age institute,50-xx
_garii__,fans de alaguerrano,10-17
neverlandlss,one direction,10-17
flor_belieber5,justinfollowplease,10-17
naruedyoh,publicaciones wsl. editores wsl,18-24
