screen_name,friends_count,tweets_count,linkedin,snapchat,instagram,facebook,followers_count,favourites_count,qtyMentions,qtyHashtags,qtyUrls,qtyEmojis,qtyUppercase,profile_pic_gender,age
galachitaa,675,2708,0,0,0,0,864,130,0.8,0.54,0.44,0.71,4.6,2,25-34
015edith,178,1611,0,0,1,0,181,2244,0.29,0.01,0.07,1.16,2.71,2,10-17
joanplanas,3183,25859,0,0,1,0,4343,833,0.83,0.06,0.38,0.2,2.39,1,25-34
roohernande,2216,26783,0,0,0,0,1848,23338,0.1,0.01,0.04,1.18,1.42,1,18-24
helenaresano,668,27794,0,0,1,0,84843,3238,0.3,0.07,0.2,0.1,3.84,2,35-49
antogabas,483,1233,0,0,1,0,388,2387,0.2,0.02,0.02,1.02,1.52,2,10-17
vdgracia,38,4771,0,0,0,0,209,20,0.53,0.15,0.91,0.03,3.62,0,50-xx
lutxana,1036,20530,0,0,0,0,1280,12702,1.05,1.14,0.82,0.11,2.5,2,25-34
carlos___g,331,5402,0,1,0,0,332,2345,0.07,0.0,0.03,0.11,1.09,1,18-24
paufrancisco123,261,2529,0,0,0,0,173,1153,0.31,0.01,0.02,1.79,1.14,0,10-17
anamariallopis,3911,15389,0,0,0,0,17455,1291,0.89,0.67,0.2,0.04,4.12,2,50-xx
pamemememesia15,155,9211,0,0,1,0,242,3650,0.53,0.0,0.15,0.05,2.2,2,18-24
emiliodebenito,366,11874,0,0,0,0,7004,1852,1.54,0.2,0.64,0.06,2.22,1,35-49
candelarodrgu13,137,1399,0,0,0,0,69,220,0.04,0.0,0.01,1.67,1.15,2,10-17
luisdiazdeldedo,347,606,0,0,0,0,53131,12070,1.36,0.27,0.13,0.47,3.44,1,25-34
ejoana,29988,12671,1,0,0,0,55480,3865,1.12,0.94,0.55,0.11,4.61,2,50-xx
perejoanmitjans,448,4639,0,0,0,0,480,1039,0.78,0.19,0.48,0.05,3.26,1,50-xx
pachogruas,338,319,0,0,0,0,128,22,0.7,0.76,0.38,0.04,2.54,0,25-34
roominalucia,217,19471,0,1,1,1,412,1597,0.08,0.0,0.1,0.47,2.13,0,10-17
maarupicerno,637,37327,0,0,0,0,1385,3844,0.3,0.0,0.08,0.5,1.26,2,10-17
mistrals,3174,47941,0,0,0,0,137131,2025,0.56,0.01,0.75,0.03,3.2,0,50-xx
tamaracolmaan,954,61226,0,0,0,0,1136,4228,0.24,0.0,0.09,0.18,3.18,0,18-24
carlosecue,1129,18546,0,0,0,0,114343,92,0.55,0.01,0.38,0.06,3.37,1,35-49
ezequielherraiz,266,3470,1,0,0,0,297,486,0.66,0.26,0.37,0.11,3.53,0,10-17
luusimonini,202,1399,0,0,0,0,222,376,0.12,0.0,0.01,1.65,1.56,1,18-24
respetocanas,655,16401,0,0,0,0,7727,4225,0.76,0.24,0.1,0.15,9.27,0,25-34
mlaudisio,1576,5532,1,0,0,0,930,984,0.25,0.95,0.54,0.05,3.75,0,25-34
rodriguezbraun,110,64480,0,0,0,0,95214,18720,2.02,0.36,0.35,0.16,3.24,1,50-xx
chgarciacortes,1241,5565,0,0,0,0,126882,88,0.78,0.13,0.19,1.2,2.4,0,50-xx
marielabejar,994,36672,0,0,0,0,8831,823,0.43,0.49,0.52,0.22,3.51,2,35-49
lopezdoriga,1341,195412,0,0,0,0,7858480,746,0.29,0.27,0.87,0.05,4.79,1,50-xx
carburandotv,751,61056,0,0,0,0,73834,807,0.65,2.17,0.7,0.9,6.94,0,50-xx
gomezrufo,538,2702,0,0,0,0,1360,773,0.78,0.14,0.28,0.01,7.36,0,50-xx
elenavama,85,1050,0,0,0,0,72,148,0.25,1.02,0.61,0.4,4.02,0,18-24
mikomonik,247,5088,0,0,0,0,272,17,0.41,0.99,0.41,0.25,4.29,2,18-24
jul14nbarissani,709,31882,0,0,0,0,1135,5107,0.48,0.04,0.2,0.18,4.21,1,18-24
maria_vega_,567,1519,0,0,0,0,1574,215,0.88,0.04,0.32,0.11,3.32,0,25-34
gemaconga,507,4016,0,0,0,0,185858,104,0.96,0.33,0.33,0.15,2.77,2,35-49
mabelbullon,123,502,0,0,0,0,121,7,0.61,0.28,0.94,0.1,7.42,2,35-49
dorregocaro,402,20216,0,0,0,1,1046,1437,0.02,0.0,0.13,0.34,1.29,0,10-17
mateodomenech,32,169,0,0,0,0,43,1,0.26,0.34,0.66,0.02,6.75,1,50-xx
luistomala,1609,735325,0,0,0,0,1886,773,0.14,0.08,1.03,0.03,2.86,1,25-34
_brisa17abigail,491,7085,0,0,0,0,403,12053,0.14,0.02,0.09,0.49,1.71,0,10-17
facuufrancese5,848,21904,0,0,0,0,1114,10085,0.32,0.27,0.36,0.49,1.98,1,10-17
carlosgomezuy,441,2982,0,0,0,0,236,1417,0.46,0.06,0.25,0.06,2.98,0,10-17
faculiencres,662,25582,0,0,0,1,768,10539,0.38,0.01,0.14,0.05,1.61,1,18-24
maitefinch,4583,29983,0,0,0,0,4891,5914,0.7,0.83,0.65,0.37,1.46,2,35-49
oscargcervella,821,7160,0,0,0,0,421,612,0.09,1.21,0.92,0.04,4.45,1,35-49
brian_matassa,168,19338,0,0,0,0,1033,4117,0.16,0.01,0.06,0.64,5.53,1,18-24
francocairo02,169,5329,0,0,0,0,533,613,0.16,0.07,0.12,0.06,1.06,0,10-17
webempresa20,5843,26225,0,0,0,0,20595,1477,0.12,0.01,0.95,0.05,2.23,2,50-xx
fjaureguic,6535,16579,0,0,0,0,24789,39,1.11,0.01,0.37,0.03,3.24,0,50-xx
agustinavilch17,954,1421,0,0,0,0,551,335,0.06,0.01,0.0,2.09,1.2,2,18-24
esperanzaguirre,3653,5557,0,0,0,0,565178,2882,0.44,0.12,0.17,0.07,3.13,2,50-xx
abarceloh25,376,6319,0,0,0,0,410797,88,1.14,0.01,0.21,0.01,2.42,2,50-xx
garciaaller,2443,13488,0,0,1,0,13344,9419,1.29,0.2,0.42,0.06,2.88,2,25-34
javierbri,694,9217,0,0,0,0,725,1152,1.2,0.97,0.9,0.22,2.47,1,35-49
