screen_name,friends_count,tweets_count,linkedin,snapchat,instagram,facebook,followers_count,favourites_count,qtyMentions,qtyHashtags,qtyUrls,qtyEmojis,qtyUppercase,profile_pic_gender,age
chrismacias1510,692,10449,0,0,0,0,723,7660,0.31,0.03,0.18,0.11,3.27,1,18-24
el_huno,534,2890,0,0,0,0,307,538,0.24,0.19,0.78,0.02,3.64,1,25-34
karenmartel_,644,82507,0,0,0,0,655,424,0.08,0.0,0.02,0.48,1.22,0,18-24
nadiaohaco,478,731,0,0,0,0,540,1729,0.36,0.19,0.18,0.77,2.86,2,10-17
mranera,25394,11714,0,0,0,0,50524,421,1.38,1.11,0.66,0.05,5.37,2,50-64
nuriarocagranel,230,29555,0,0,0,0,229492,35,0.69,0.31,0.56,2.16,13.07,2,35-49
pizzasingkaraok,1645,36859,0,0,0,0,1336,6564,0.17,0.69,0.89,0.46,3.49,0,25-34
rodrii_akd_s2,1051,35393,0,0,0,0,1011,1044,0.01,0.01,0.3,0.24,1.32,1,18-24
cccccccaro,1646,57577,0,0,0,0,2130,11240,0.39,0.0,0.17,0.09,2.51,0,18-24
nicolastripoli,401,15081,0,0,0,0,499,1616,0.23,0.08,0.08,0.23,1.64,0,18-24
norberto1956,251,3723,0,0,0,0,574,4194,1.35,0.01,0.16,0.05,3.25,1,50-64
julianrosa00,787,4579,0,0,0,0,632,2410,0.16,0.01,0.05,0.23,1.43,1,10-17
juaniruss,477,8697,0,0,0,0,987,1376,0.08,0.14,0.1,0.53,3.63,0,18-24
cesardalmau,151,2946,0,0,0,0,1179,67,1.26,1.36,0.07,0.11,3.89,1,35-49
frannoe1986,723,48872,0,0,0,0,834,39487,0.24,0.46,0.23,0.04,5.05,0,25-34
romii_rodrilu,228,3295,0,0,0,0,158,2565,0.13,0.0,0.11,0.85,1.83,2,10-17
joakoonetto,420,3738,0,0,0,0,507,4566,0.3,0.01,0.24,0.39,1.56,0,10-17
bibiladi,68,198,0,0,0,0,198,227,0.82,0.34,0.09,0.08,2.33,2,35-49
eduardorivolta,1529,9319,0,0,0,0,322,6238,0.65,0.06,0.04,0.1,2.6,1,25-34
lourdesmoralesg,324,253,0,0,0,0,171,5,0.68,1.09,0.76,0.09,7.0,0,50-64
reosiempre,506,21715,0,0,0,0,768,10514,0.53,0.0,0.19,0.09,5.58,1,18-24
projaok,28,2185,0,0,0,0,893,179,0.13,1.12,0.03,0.41,9.47,0,10-17
marcecosta1891,161,93092,0,0,0,0,1402,6729,0.09,0.01,0.18,0.01,3.5,1,18-24
brendafranco_26,75,2667,0,0,0,0,46,1265,0.0,0.0,0.0,0.0,1.0,2,18-24
mili_campos_,527,3304,0,0,0,0,721,1296,0.15,0.03,0.07,1.79,1.43,2,18-24
yazmin45401309,97,176,0,0,0,0,17,299,0.56,0.17,0.0,0.67,1.83,2,10-17
niicosiilvaa,1127,30747,0,0,0,0,1618,10461,0.4,0.0,0.15,0.14,1.87,0,18-24
cami892,1161,11902,0,0,0,0,519,6178,0.12,0.02,0.05,1.07,1.92,0,10-17
andresaf170198,78,228,0,0,0,0,48,79,0.11,0.01,0.0,0.14,1.19,0,18-24
albertoartero,74,17423,0,0,0,0,11001,3,0.83,0.04,0.46,0.04,3.21,1,35-49
fabiomartinez1,124,388,0,0,0,0,83,104,1.27,0.59,0.02,0.01,3.7,1,35-49
cristian_i_s,1227,12307,0,0,0,0,1732,4413,0.0,0.0,0.0,0.0,1.0,0,18-24
antocalzada23,300,9287,0,0,0,0,429,1679,0.06,0.01,0.0,0.27,1.83,0,18-24
tamicionofrino,261,13289,0,0,0,0,701,1611,0.26,0.03,0.01,0.71,1.46,0,18-24
lubirenc,214,13514,0,0,0,0,312,7980,0.38,0.0,0.08,0.19,3.33,0,18-24
vanemtl,653,39641,0,0,0,0,1477,13671,0.33,0.08,0.16,0.59,2.53,0,18-24
miqqaelamicaela,673,25401,0,0,0,0,766,3456,0.13,0.01,0.04,1.68,1.08,2,18-24
anisan23,96,741,0,0,0,0,82,185,0.12,0.04,0.02,0.03,1.91,1,35-49
cutefilm,330,1346,0,0,0,0,309,610,0.52,0.75,0.4,0.17,2.35,0,25-34
breen_schofer,696,5546,0,0,0,0,584,11021,0.1,0.1,0.05,0.56,2.98,0,10-17
ezequielherraiz,266,3470,0,0,0,0,297,486,0.66,0.26,0.37,0.11,3.53,0,10-17
jmgomezperez,1730,8466,0,0,0,0,1791,1,0.48,0.1,0.26,0.09,3.1,1,35-49
arandagustina,257,26656,0,0,0,0,180,988,0.27,0.11,0.09,0.21,1.86,2,18-24
micagamer23,333,226,0,0,0,0,72,464,1.16,0.03,0.01,1.23,3.84,0,10-17
candelamachado7,811,26413,0,0,0,0,986,12256,0.3,0.01,0.04,0.67,1.44,0,10-17
pamemememesia15,155,9211,0,0,0,0,242,3650,0.53,0.0,0.15,0.05,2.2,2,18-24
agusfiguere,782,37076,0,0,0,0,1315,7543,0.52,0.03,0.15,0.18,0.57,0,18-24
cgezzio,881,5464,0,0,0,0,796,1636,0.8,0.12,0.19,0.09,3.51,1,18-24
deviasofia18,37,96,0,0,0,0,23,163,0.88,0.02,0.0,0.06,2.49,2,10-17
