screen_name,subscriptionLists,age
juancarcubeiro,Human Age Institute,50-64
gomezdelpozuelo,"Tech Investors. Accelerators, BAs & VCs. Emprendedores. Forbes.Women. women entrepreneurs. Thirtywomen entrepreneurs. BusinessWomen. Social Media",50-64
chgarciacortes,Periodistas,50-64
perezreverte,Imprescindibles,50-64
hectormilla,VR is the Future . VR gurus. Realidad virtual. Video Startups. RCDE,50-64
jgarridoo,elche. ilicitanos. Iweekend,50-64
joancmarch,"Bioetica. Publicaciones/periodistas. SALUD. mis seguidos. conversationlist. SM-Health. SEGUIDOS. concursos. Profesionales de la Salud. Salud. edu. Salud. pacientes. Tendencias. Salud Digital. medicas. medblogsandso. Top list. CHGUV - Médicos en red. Medicine. gestión sanitaria. Pensamiento crítico. Medicina. sanidad . TIC i salut. medular. Destinos. granada. seguint-los. Profesores. Top. Docs. salud. Salud-health-santé. salud. Drogs. inquietudinfinita. salud 2.0. turma_8. Health 2.0. EASP. blogs-salud. Medicina de Familia. health mk 2.0. Administracion Sanitaria. AP. amics i amigues. blogosfera sanitaria. Sanidad. comunidad. blogosfera_profesionales. Salut. Nutrición, Pediatía y Salud 2.0 . Salud 2.0. Medicine. Granada. health-es. UGR. Salud, Nutrición, Belleza. Tecnología y Ciencia. informacion_medica. Granadin@s. promosalud. Doctors & Collegues. Salud20. Sanidad. PublicHealth. LinkedIn GestionSanitaria. noticias medicas. bloguera-sanitaria. Sanidad. medicina. salud21. Abla-Ata. csalud. salud20. e-health. Salud. Salud Colaborativa. sanidad twittera. profesionales. ehealth. Inmigración/ Publichealth. Salud 2.0. e-health. Medicina/Salud. sanidad 2.0. bloggers-twitters-salud. elearning. educacion. salud y gestion. Salud. bloggeros_sanidad. mundo sanitario. MD & HW. Vientos.... sanidad andaluza 2.0. promocion salud. MPySP. la palabra escrita. agenc estud comunicacion. healthcare. Medicina. Medicina-Salud-Health. bloggers-twitters-salud. sanidadpersonas",50-64
robcarballo,rsc,50-64
morenobarber,directoresmedios. Scholars and Savants. Medios,50-64
jalguerrero,Ciencia,50-64
acedotor,correspondents_in_spain. Social Media. directoresmedios. Spanish_Journalists. Periodistas. Health journalists/media. Informacion y Salud. periodistas&medios salud. Comunicacion y Salud. Noticias de salud,50-64
rosamariaartal,AUTORES DE REACCIONA,50-64
webempresa20,REVOLUCION-INDUSTRIAL-IV,50-64
perejoanmitjans,parlament2015. Diputats XI legislatura. cortes2016. Regidors Ajuntament. Twitagua,50-64
wellcomm,HR. Comunicación. Embajadores-UE. #chicosprensa20 UIMP 2015. UIMP APC 2015. MPG Salud2.0 2015. Mujeres en la red. Talentya 2013. Blogs Seguidos por el Obs. Marca Personal. Perspectivas2013. Curso Ferrovial. EL PAIS. ComPol. Libros Bubok. Comunicacion. Politicos. mujeres de la red. directoresmedios. DirCom. Spanish_Journalists,50-64
gomezrufo,gente que escribe,50-64
albeitar,hotels. agencias de viajes. Casas rurales. Equipo,50-64
esperanzaguirre,Nuestros concejales. Periodistas y medios. Sedes PP Madrid,50-64
pedrobiurrun,Instituciones. Última Hora,50-64
ejoana,Economía digital. Inesdi. WebExpo2.0. Inesdi. Socialmedia. Inesdi. Asociados,50-64
