screen_name,friends_count,tweets_count,linkedin,snapchat,instagram,facebook,followers_count,favourites_count,qtyMentions,qtyHashtags,qtyUrls,qtyEmojis,qtyUppercase,profile_pic_gender,age
ralphalmuser,626,81515,0,0,0,0,605,13891,0.41,0.01,0.11,0.11,3.31,0,18-24
pachogruas,338,319,0,0,0,0,128,22,0.7,0.76,0.38,0.04,2.54,0,25-34
mrtfernandez,1865,41044,0,0,0,0,129821,69689,1.12,0.07,0.17,0.03,2.41,2,35-49
rrebolledo,880,3622,0,0,0,0,908,2517,0.82,0.64,0.84,0.03,4.07,2,25-34
maria_vega_,567,1519,0,0,0,0,1574,215,0.88,0.04,0.32,0.11,3.32,0,25-34
gemaconga,507,4016,0,0,0,0,185858,104,0.96,0.33,0.33,0.15,2.77,2,35-49
olgarodriguezfr,4792,17746,0,0,0,0,88404,39469,0.6,0.11,0.61,0.07,3.53,2,35-49
vigelacoaching,257,1228,0,0,0,0,618,420,0.99,0.32,0.43,0.03,3.15,0,35-49
alvarogarciap90,720,6450,0,0,0,0,276,1037,0.79,0.07,0.07,0.07,3.26,0,18-24
mmendizabal1,852,7052,0,0,0,0,129904,288,0.53,0.23,0.58,0.14,2.35,2,35-49
naturalvoyager,3491,9730,0,0,0,0,3052,865,0.82,0.63,0.78,0.03,7.71,1,50-xx
beltran_lola,213,1059,0,0,0,0,312,30,0.33,0.46,0.89,0.2,4.02,2,18-24
h_torres,532,6138,0,0,0,0,210,205,0.55,0.14,0.09,0.04,2.79,1,18-24
isanseba,640,37610,0,0,0,0,108664,4386,1.42,0.04,0.21,0.37,3.12,2,50-xx
ncampos,1789,7606,0,0,0,0,1837,7,0.82,0.3,0.08,0.02,3.25,1,35-49
mistrals,3174,47941,0,0,0,0,137131,2025,0.56,0.01,0.75,0.03,3.2,0,50-xx
manushgalvan,1059,2966,0,0,0,0,2052,1208,0.63,0.94,0.7,0.24,3.7,1,25-34
mfeijoo,951,9053,0,0,0,0,3329,275,1.12,0.6,0.36,0.17,2.9,0,35-49
juancarcubeiro,3094,25310,0,0,0,0,13996,1947,1.31,1.14,0.77,0.06,5.37,1,50-xx
