screen_name,friends_count,tweets_count,linkedin,snapchat,instagram,facebook,followers_count,favourites_count,qtyMentions,qtyHashtags,qtyUrls,qtyEmojis,profile_pic_gender,age
jmgomezperez,1730,8466,False,False,False,False,1791,1,0.48,0.1,0.26,0.1,1,35-49
rojasmimi,151,12487,False,False,True,False,412,2659,0.61,2.33,0.03,4.43,2,18-24
sofiaabanzas,505,36847,False,False,False,False,836,3479,0.46,0.0,0.04,0.89,0,10-17
gomezrufo,538,2702,False,False,False,False,1360,773,0.78,0.14,0.28,0.03,0,50-64
tizianapeluffo1,445,2049,False,False,False,False,422,3649,0.84,0.0,0.12,0.28,0,10-17
santiagopepe_91,1911,7605,False,False,False,False,891,3338,0.83,0.71,0.19,0.18,0,25-34
nuriarocagranel,230,29555,False,False,False,False,229492,35,0.69,0.31,0.56,2.18,2,35-49
zaii_aiilen,823,4353,False,False,True,False,1144,3813,0.0,0.0,0.0,1.0,2,18-24
lourdesmoralesg,324,253,False,False,False,False,171,5,0.68,1.09,0.76,0.09,0,50-64
katherineabreu3,444,11950,False,False,False,True,542,1960,0.08,0.06,0.15,0.41,0,18-24
tamitoledovazq,317,16694,False,False,True,False,282,2677,0.35,0.01,0.09,0.59,0,18-24
ayeschenfelt,207,2001,False,False,False,True,272,416,0.39,0.05,0.01,0.16,0,18-24
felixbernet,1116,25918,False,False,False,False,1315,416,1.03,0.72,0.87,0.05,0,35-49
maxiiiramos,675,11402,False,False,False,False,722,3362,0.31,0.01,0.07,0.42,1,18-24
niicosiilvaa,1127,30747,False,False,True,False,1618,10461,0.4,0.0,0.15,0.14,0,18-24
djnilogb,943,10600,False,False,False,True,754,2543,0.04,0.06,0.16,0.27,1,18-24
rossanaduarte1,2841,35482,False,False,False,False,4001,2719,1.37,0.77,0.04,2.19,0,10-17
arandagustina,257,26656,False,False,False,False,180,988,0.27,0.11,0.09,0.22,2,18-24
rodrii_akd_s2,1051,35393,False,False,True,True,1011,1044,0.01,0.01,0.3,0.25,1,18-24
martarodrigueza,7815,27326,True,False,False,False,9393,12349,1.23,0.1,0.73,0.19,2,35-49
albertoartero,74,17423,False,False,False,False,11001,3,0.83,0.04,0.46,0.05,1,35-49
jeither01,270,1223,False,False,False,False,273,1958,0.45,0.5,0.28,0.31,1,18-24
santiberto8,90,152,False,False,True,False,28,171,0.84,0.02,0.02,0.27,0,18-24
eechaguee,1857,15449,False,False,False,True,1652,1421,0.12,0.26,0.41,0.47,0,18-24
facuufrancese5,848,21904,False,False,False,False,1114,10085,0.32,0.27,0.36,0.5,1,10-17
carolina__01,972,38978,False,False,False,False,927,8005,0.21,0.0,0.1,0.43,2,10-17
romiiacosta97,1265,20431,False,False,False,True,1499,3949,0.07,0.02,0.08,0.73,2,18-24
publicisimpetu,299,1306,False,False,False,False,1269,1412,0.47,0.63,0.7,0.22,0,50-64
daaaibravo5,1338,22952,False,False,False,True,1292,2128,0.23,0.03,0.09,1.21,0,18-24
nico_raffo,62332,38730,False,False,True,False,74428,19753,1.02,0.23,0.22,0.11,1,25-34
candelamachado7,811,26413,False,False,False,True,986,12256,0.3,0.01,0.04,0.67,0,10-17
cascarilla3,200,2159,False,False,False,False,100,270,1.36,1.06,0.18,0.03,0,35-49
cutefilm,330,1346,False,False,False,False,309,610,0.52,0.75,0.4,0.19,0,25-34
fiammarusso,90,248,False,False,False,False,64,382,0.18,0.07,0.11,2.38,2,18-24
juliett1215,1117,29155,False,False,False,False,1116,8804,0.23,0.01,0.04,0.47,0,18-24
tamicionofrino,261,13289,False,False,False,False,701,1611,0.26,0.03,0.01,0.71,0,18-24
santi_durann,989,46507,False,False,False,False,1668,18959,0.48,0.0,0.04,0.04,0,18-24
crisalonsofran,2120,24051,False,False,False,False,2160,2377,0.82,0.26,0.54,0.4,2,35-49
sistimartin,220,12033,False,False,False,False,319,4162,0.29,0.0,0.02,0.08,0,18-24
antogabas,483,1233,False,False,True,False,388,2387,0.2,0.02,0.02,1.02,2,10-17
milagrosfelixd1,1090,10214,False,False,False,False,77,7075,1.23,0.07,1.0,2.41,2,18-24
mathiasdiazok,405,34281,False,False,False,False,670,7451,0.67,0.02,0.05,0.95,1,18-24
sositayoa,2125,164,False,False,False,False,197,183,0.04,0.04,0.04,0.75,0,18-24
cccccccaro,1646,57577,False,False,False,True,2130,11240,0.39,0.0,0.17,0.1,0,18-24
jopoopareja,340,9369,False,False,False,False,485,2094,0.08,0.0,0.13,0.51,1,18-24
cabragnr,1047,62780,False,False,False,False,1653,9011,0.42,0.0,0.0,0.17,2,18-24
mrgomezponce,2894,11231,False,False,False,False,4179,9738,1.26,1.13,0.57,0.18,2,35-49
silviacobo,2753,25023,False,False,False,False,13114,2391,0.63,0.24,0.61,0.23,2,35-49
lourdesmunoz,10826,21288,False,False,False,False,11318,6029,0.92,1.29,0.78,0.13,2,35-49
gabrielkoszko,1661,39474,False,False,True,False,2620,14511,0.39,0.0,0.07,0.22,1,18-24
camilasayus,1388,38466,False,False,False,False,1930,2927,0.24,0.01,0.01,0.67,1,18-24
marquitoxponce,324,16809,False,True,False,False,319,11136,0.47,0.0,0.04,0.13,0,18-24
rogarcia___,1091,36225,False,False,True,False,1486,16737,0.32,0.0,0.04,0.28,2,18-24
maxirios99,2583,6828,False,False,True,True,2795,190,0.05,0.04,0.37,0.5,0,10-17
g6d2p,2555,16939,False,False,False,False,1587,8569,0.18,0.01,0.04,0.42,0,18-24
mranera,25394,11714,False,False,False,False,50524,421,1.38,1.11,0.66,0.1,2,50-64
adelaidauma,278,253,False,False,False,False,2420,2,0.54,0.05,0.6,0.02,2,65-xx
julidemarco1,656,34216,False,True,True,False,1390,25558,1.23,0.01,0.08,0.22,0,18-24
jogartra,606,2298,True,False,False,False,390,23,0.33,0.23,0.35,0.14,1,35-49
nicozarrelli,805,10384,False,False,True,False,804,9508,0.62,0.0,0.06,0.21,1,18-24
federicamarilla,248,201,False,False,False,False,137,83,0.18,0.88,0.35,0.15,0,35-49
cesardalmau,151,2946,True,False,False,False,1179,67,1.26,1.36,0.07,0.13,1,35-49
yoiikamlofsky,465,25730,False,False,False,True,699,9245,0.13,0.02,0.11,0.93,2,18-24
melivarelacid,642,14012,False,False,True,True,773,733,0.06,0.03,0.02,0.31,0,18-24
yazmin45401309,97,176,False,False,False,False,17,299,0.56,0.17,0.0,0.67,2,10-17
feer_delgreco,190,4577,False,False,False,False,153,3451,0.58,0.01,0.27,0.73,1,18-24
anahirrii,497,520,True,False,False,False,89,170,0.18,0.22,0.72,0.4,2,25-34
rodriguezbraun,110,64480,False,False,False,False,95214,18720,2.02,0.36,0.35,0.21,1,65-xx
nataliamindurry,729,55137,False,False,True,False,1656,3618,0.38,0.0,0.07,0.24,2,18-24
tblack_r,1290,8620,False,False,True,False,1383,21826,0.2,0.09,0.06,0.74,2,18-24
miguel_a_alonso,170,3351,False,False,False,False,216,1503,0.36,0.03,0.72,0.08,1,35-49
furtadogus,655,19254,False,False,False,False,392,4152,0.32,0.78,0.46,0.25,1,25-34
inmonoel,501,2809,False,False,False,False,302,281,0.29,0.63,0.92,0.04,0,50-64
ferzequeira,553,52594,False,False,False,False,811,46240,0.32,0.0,0.01,0.3,1,18-24
sararebecca23,1216,3183,False,False,False,False,325,978,0.18,0.0,0.06,0.03,2,25-34
karenmartel_,644,82507,False,False,True,True,655,424,0.08,0.0,0.0,0.48,0,18-24
claudiogarcia82,1898,27966,False,False,False,False,2320,779,0.07,2.59,0.97,0.04,1,25-34
angelmgtech,247,270,True,False,False,False,61,45,0.11,4.56,0.97,0.07,0,25-34
sebastianfest,3275,11832,False,False,False,False,7815,4649,1.57,0.68,0.47,0.06,0,18-24
alfonsomarco,787,5403,False,False,False,False,1201,20,0.01,0.0,0.67,0.05,1,50-64
cxfxo,1439,12069,False,False,False,False,427,5761,0.43,0.68,0.12,0.23,2,25-34
toomyraffin,216,22189,False,True,True,False,272,6029,0.38,0.0,0.0,0.07,1,18-24
joseplut104,4760,3539,False,False,True,False,3228,883,0.21,0.91,0.18,0.86,1,18-24
jennbardecio,129,124,False,False,False,False,30,514,1.12,0.18,0.07,1.21,2,25-34
mmusitani,5002,9533,False,False,False,True,2033,10,1.77,1.93,0.36,1.27,1,25-34
mawakd,2672,55493,False,False,True,False,2867,22568,0.45,0.01,0.12,0.14,1,18-24
galonsobenia,735,2318,False,False,False,False,408,1570,0.68,0.06,0.54,0.07,1,25-34
lnavarreta,1051,15333,False,False,False,False,1117,416,0.09,0.0,0.0,0.27,2,18-24
ro_castiglioni,591,1095,False,False,True,False,120,935,1.13,2.51,0.04,0.97,2,10-17
rbeleenn,786,19024,False,False,False,True,592,11175,0.28,0.06,0.18,0.71,2,18-24
flor_fferreyra,170,1928,False,False,True,False,114,1634,0.11,0.01,0.02,1.09,0,18-24
lubirenc,214,13514,False,False,False,False,312,7980,0.38,0.0,0.08,0.19,0,18-24
sofiinromero,44,1381,False,False,False,True,83,399,0.98,0.0,0.0,0.26,2,18-24
patricionavarr0,2504,6222,False,False,False,False,1405,1868,0.11,0.02,0.15,1.31,1,18-24
josetrecet,2371,6548,False,False,False,False,3294,813,0.39,0.35,0.97,0.06,1,35-49
tomii0410,554,42681,False,False,False,False,5337,13160,0.61,0.45,0.18,0.38,1,10-17
paovillalba19,533,10617,False,True,False,True,719,4844,0.17,0.02,0.08,0.83,2,18-24
mili_campos_,527,3304,False,False,False,False,721,1296,0.15,0.03,0.07,1.8,2,18-24
rosoimuro,612,58472,False,True,False,False,1316,17176,0.53,0.0,0.13,0.62,0,18-24
neit_rc,336,3959,False,False,False,True,384,334,0.0,0.16,0.08,0.13,1,18-24
srouvier,736,10845,False,False,False,False,2301,2829,0.73,0.29,0.18,0.11,2,35-49
thefoolxshone,202,15163,False,False,True,False,278,957,0.13,0.26,0.14,0.2,0,18-24
reosiempre,506,21715,False,False,False,False,768,10514,0.53,0.0,0.19,0.1,1,18-24
biogeocarlos,3056,16870,False,False,False,False,4298,5341,1.79,0.28,0.27,0.86,0,35-49
rocciocabano,195,8210,False,False,False,False,153,3376,0.11,0.0,0.0,0.49,2,18-24
josefinamosser,703,92218,False,False,False,False,1609,17343,0.31,0.0,0.14,0.76,2,18-24
cbdk2011,262,166,False,False,False,False,30,166,0.85,0.04,0.25,0.84,2,35-49
lucasmiguez22,1471,66021,False,False,True,False,1782,52539,0.33,0.03,0.08,0.28,0,18-24
francocairo02,169,5329,False,False,False,False,533,613,0.16,0.07,0.12,0.07,0,10-17
ferrr_21,1817,18382,False,False,True,True,949,12157,0.1,0.04,0.16,0.43,2,18-24
maarupicerno,637,37327,False,False,False,False,1385,3844,0.3,0.0,0.08,0.5,2,10-17
vanis,1377,40591,False,False,False,False,52718,4077,1.03,0.27,0.28,0.2,1,35-49
psochan1,1576,11943,False,False,False,False,1411,7376,0.14,0.0,0.03,1.23,2,18-24
floorcei,979,32034,False,False,False,False,1160,1288,0.27,0.05,0.04,0.38,2,18-24
manushgalvan,1059,2966,False,False,False,False,2052,1208,0.63,0.94,0.7,0.26,1,25-34
kandhe_c,208,17320,False,False,True,False,459,1922,0.3,0.01,0.1,0.82,0,18-24
bibiladi,68,198,False,False,False,False,198,227,0.82,0.34,0.09,0.09,2,35-49
floaloy,857,20526,False,False,False,False,1112,3929,0.55,0.0,0.0,1.0,2,10-17
blaasgomez,507,24452,False,False,False,False,950,1978,0.09,0.01,0.02,0.34,1,18-24
carlaalvarez28,839,28573,False,False,False,False,1042,1196,0.29,0.02,0.03,0.51,0,18-24
marielabejar,994,36672,False,False,False,False,8831,823,0.43,0.49,0.52,0.23,2,35-49
rofeldik,4949,23243,False,False,True,False,4120,23291,0.07,0.0,0.01,0.13,2,18-24
adela_micha,415,58907,False,False,False,False,4647584,68,0.02,0.0,0.98,0.09,0,50-64
andresaf170198,78,228,False,False,False,False,48,79,0.11,0.01,0.0,0.14,0,18-24
lapipydeltricoo,509,112,False,False,False,True,100,61,0.48,0.22,0.45,0.29,0,10-17
aguskazt,87,217,False,False,False,True,49,742,0.67,0.07,0.07,0.18,0,18-24
biosistemasuy,1460,1557,False,False,False,False,537,320,0.23,0.38,0.73,0.12,0,25-34
gfran93,548,2390,False,False,False,True,428,235,0.52,0.08,0.07,0.02,0,18-24
franiipanita,404,7198,False,False,False,False,438,7885,0.4,0.0,0.1,0.08,1,10-17
s4dnessdepress,187,824,False,False,False,False,35,2645,0.12,0.0,0.0,0.06,2,10-17
claricaballeroo,912,28563,False,False,True,False,1079,11688,0.26,0.0,0.04,0.95,2,18-24
paovillarpando,141,2395,False,False,False,False,67,1394,0.19,0.05,0.06,1.55,1,18-24
gustavoanselmi1,941,5956,False,False,False,False,275,2591,0.05,0.01,0.9,0.04,0,35-49
respetocanas,655,16401,False,False,False,False,7727,4225,0.76,0.24,0.1,0.16,0,25-34
estefiperezok,2304,29967,False,False,False,True,2327,4352,0.2,0.0,0.05,0.74,0,10-17
marmira95528549,119,545,False,False,False,False,36,484,0.09,0.08,0.04,1.15,0,10-17
baigotadrian,506,21022,False,False,False,False,1084,6811,0.57,0.04,0.39,0.55,0,18-24
netlabsuy,131,52,False,False,False,False,56,37,0.61,1.22,0.56,0.78,0,18-24
claudiolpez11,1016,13309,False,True,True,False,944,4837,0.04,0.04,0.04,0.52,1,18-24
fransaxlund,3144,35831,False,False,False,False,1196,7648,1.47,0.17,0.17,0.12,1,18-24
maritriniginer,2984,41862,False,False,False,False,9280,19571,0.76,1.21,0.76,0.72,0,25-34
florenciamauser,1106,56933,False,False,False,False,1693,28414,0.25,0.01,0.13,1.04,0,18-24
fariasxiomara1,470,9085,False,False,False,False,300,8145,0.76,0.02,0.08,0.16,2,18-24
felipepaullier,1467,13501,False,False,False,False,4303,3289,1.91,0.34,0.24,0.5,1,25-34
carlosecue,1129,18546,False,False,False,False,114343,92,0.55,0.01,0.38,0.08,1,35-49
agustinaaruvira,419,18344,False,False,False,False,535,4988,0.19,0.0,0.0,0.92,2,18-24
ksergio80,429,7814,False,False,False,False,240,6217,1.12,0.15,0.14,0.12,0,50-64
laurabat55,590,6261,False,False,False,False,918,8863,1.32,0.05,0.25,0.23,2,50-64
milibarrio_,951,6412,False,False,False,False,1063,3613,0.33,0.0,0.06,0.94,2,10-17
mbritos1960,68,666,False,False,False,False,59,422,1.2,0.06,0.2,0.02,1,25-34
abarceloh25,376,6319,False,False,False,False,410797,88,1.14,0.01,0.21,0.02,2,50-64
marisolartigas,146,1419,False,False,False,False,173,399,0.12,3.68,0.93,0.08,2,10-17
inspectoresdetr,249,911,False,False,False,False,171,120,0.85,0.06,0.14,0.07,0,25-34
silvinaduck,183,39941,False,True,False,False,856,13876,0.03,0.03,0.07,1.22,2,18-24
julianrosa00,787,4579,False,False,False,False,632,2410,0.16,0.01,0.05,0.23,1,10-17
antocalzada23,300,9287,False,True,False,False,429,1679,0.06,0.01,0.0,0.27,0,18-24
zoyasanchez,378,3873,False,False,False,True,295,1468,0.06,0.03,0.07,0.4,0,10-17
aleberiso,250,13243,False,False,False,False,297,1884,0.19,0.01,0.07,0.1,1,18-24
jessicalema11,774,736,False,True,True,True,1083,2264,0.78,0.28,0.02,1.73,0,10-17
damindylanpino1,166,151,False,False,False,False,53,24,0.05,0.01,0.0,1.48,0,18-24
eblanperis,3881,14197,False,False,True,False,8712,4027,1.02,1.38,0.77,0.53,2,25-34
maru_cabj21,1002,3957,False,False,True,False,828,3201,0.13,0.03,0.16,0.74,0,10-17
debraslo,1928,33986,False,False,False,False,2215,21758,0.14,0.0,0.08,0.18,0,18-24
alesonline,76,4879,False,False,False,False,327,1089,0.92,0.29,0.54,0.17,1,25-34
facundodelpuer2,2532,453,False,False,False,False,511,1366,0.64,0.07,0.09,0.9,1,10-17
eduardorivolta,1529,9319,False,True,True,True,322,6238,0.65,0.06,0.04,0.1,1,25-34
pamemememesia15,155,9211,False,False,True,False,242,3650,0.53,0.0,0.15,0.05,2,18-24
minoriahardcore,2452,2310,False,False,False,True,1181,593,0.15,0.19,0.74,0.27,0,25-34
mgdelpozuelo,13658,3311,False,False,False,False,32285,2446,1.12,0.53,0.67,0.05,2,35-49
leandros96,482,16060,False,False,False,True,366,497,0.2,0.06,0.03,0.3,1,18-24
juiglesias07,103,14674,False,False,False,False,418,2547,0.06,0.01,0.05,0.27,0,18-24
nahuel_acosta97,1326,14188,False,False,True,False,744,12017,0.24,0.0,0.05,0.91,1,18-24
jsanchezfranco,1195,4151,False,False,False,False,1529,773,0.43,1.45,0.3,0.07,1,35-49
dunkaperra,126,6261,False,False,False,False,139,11078,1.47,0.02,0.0,0.89,2,35-49
agustinavilch17,954,1421,False,False,False,False,551,335,0.06,0.01,0.0,2.1,2,18-24
mlpassio,75,2474,False,False,False,False,30,469,0.3,0.0,0.38,0.03,1,35-49
emiliodebenito,366,11874,False,False,False,False,7004,1852,1.54,0.2,0.64,0.09,1,35-49
cgezzio,881,5464,False,False,False,False,796,1636,0.8,0.12,0.19,0.1,1,18-24
faccumu,3675,1255,False,False,True,True,931,766,0.19,0.18,0.01,0.48,0,10-17
juanma_nieves,643,6647,False,False,False,False,292,1208,1.2,0.04,0.42,0.04,0,25-34
ortizmarcos18,536,12438,False,False,True,False,711,4076,0.27,0.0,0.05,0.23,1,18-24
micaelaagomeez1,256,9675,False,False,False,False,573,2973,0.02,0.01,0.12,0.75,2,18-24
abruuledesma,210,18572,False,False,False,True,357,2570,0.09,0.0,0.04,0.66,2,10-17
plakards,826,729,False,False,False,False,1047,37,0.01,0.29,1.21,0.42,0,25-34
aguusdell_,642,6482,False,True,True,True,411,6940,0.2,0.04,0.14,1.32,2,18-24
braiant93432642,154,8,False,False,False,False,8,50,0.4,0.0,0.0,0.6,1,10-17
bautiperezz1899,156,772,False,False,True,False,52,161,0.1,0.0,0.07,0.18,1,10-17
pablo_ezeequiel,96,1790,False,False,False,True,47,163,0.05,0.06,0.06,0.87,1,18-24
nachielhh,148,20126,False,False,False,False,342,1946,0.15,0.01,0.07,0.6,1,18-24
kevinluchetta,500,88310,False,False,False,True,791,4250,0.39,0.0,0.0,0.13,0,18-24
pabloformoso,997,13612,True,False,False,False,1154,1197,0.87,0.21,0.3,0.5,1,25-34
28bernardita,492,5488,False,False,False,False,506,4789,0.53,0.0,0.37,0.68,2,10-17
galachitaa,675,2708,False,False,False,False,864,130,0.8,0.54,0.44,0.78,2,25-34
breen_schofer,696,5546,False,True,False,False,584,11021,0.1,0.1,0.05,0.56,0,10-17
olgarodriguezfr,4792,17746,False,False,False,False,88404,39469,0.6,0.11,0.61,0.1,2,35-49
factoriagris,593,21352,False,False,False,False,1325,6,0.11,1.59,1.04,0.07,0,35-49
wistonguerra,584,1034,False,False,False,False,446,252,0.0,0.01,0.0,0.01,1,25-34
santiagocalerok,945,16523,False,False,False,False,1015,2906,0.23,0.12,0.28,0.88,0,25-34
eveschofer,460,31495,False,False,False,False,689,17246,0.22,0.01,0.05,0.92,0,18-24
per_reynoso,2071,52839,False,False,False,False,2178,54491,0.33,0.02,0.07,1.41,0,18-24
demarcobianca,672,1433,False,True,False,False,675,1404,0.23,0.0,0.04,0.39,0,10-17
jgonzalez_es,957,1574,False,False,False,False,823,777,1.13,0.66,0.98,0.09,1,50-64
nubifernandez,758,25480,False,False,False,False,465,4093,0.31,0.01,0.17,0.36,2,18-24
emanuelpelua7,154,24,False,False,True,False,14,516,0.0,0.2,0.0,1.2,1,10-17
hugo_diez10,296,707,False,False,False,False,73,157,0.0,0.21,0.07,0.02,0,18-24
nikko_cabrera,1311,5665,False,False,False,False,865,5049,0.15,0.28,0.22,0.42,1,18-24
