screen_name,subscriptionLists,age
iescolar,diputados xi legislatura. candidatos pp. elecciones europeas 2014. firmas de eldiarioes,35-49
giulianodanok,edm people 16. future house. producers,18-24
anamariallopis,open innovation. emprendedores. mis queridos influyentes. emprendedores. ponentes ebe09. mujerespunteras,50-xx
pedrobiurrun,instituciones. Última hora,50-xx
neverlandlss,one direction,10-17
luistomala,miscelaneos. revistas. periodismo. derecho. historia. cultura. personajes. medios. escritores columnistas. dependencias pÚblicas. fotÓgrafos. periodistas. medios ecuador. periodismo venezuela. medios. periodistas ecuatorianos. para corredores,25-34
perezreverte,imprescindibles,50-xx
maripuchi,events mice. tedxvitoriagasteiz 2018. www.ibarrondo.es. - world innovations forum. memecracia. aprendices. twistance. tedsummit 2016. dacunha. master social media Álava. tedx-ers-in-geneva. getxoblog. us national park service. inlugo. queridos científicos. . crisis comuni online. aerco. intraemprendedoras. delegados aerco-psm. ponentes políticaredes. aerco-psm. socialmedia. delegados. socialmedia. aerco. empotreitors speakers. social media . influyentes_de_twitter. molan mil. influencers. unadocenade. políticos vascos. opengoverment. dones feministes. editoriales españolas. mujeres_igualdad. oficials. euskojaurlaritza. eitb taldea - grupo. egov-ogov. politicosvascos-pp. for cm. gouvernement. world leaders. twittersferapublica. el pais. new-pol. reutilizadores opendata. socialistas vascos. info,35-49
petezin,build 2016. periodistas destacados. isoj 2016. android – spanish. periodistas-elpais. los140recomendados. mediathinkers. medios-prisa. world leaders. newyorkerwriters. el pais. live-from-haiti. socialmedia. manifiesto-reunion. media. globalprivacy. los1001medios. periodistas_medios. socialmedia. guruses. favs. tech journalists. amigos. periodistas. bloggers. todo_el_pais. spanish_journalists,25-34
luismiguelcas,bigdata. lectura recomendada. social media. social media. taurinos. toros. toros-y-toreros. ecuestres. twitteros favoritos. matadores. aficionados. ganaderias. medios taruinos. periodistas. toros. televisalondres. noticias. periodistas. noticias. horsesinformacion. noticias. vialidad,35-49
ncampos,cmil3ub. e-administracion. ogov. open government. gurus,35-49
acedotor,correspondents_in_spain. social media. directoresmedios. spanish_journalists. periodistas. health journalists/media. informacion y salud. periodistas&medios salud. comunicacion y salud. noticias de salud,50-xx
jsanchezfranco,dircoms 2016-17. comunicadores. ehealth. sanidad. salud,35-49
leitogioiosa,miramar,10-17
galachitaa,wiseri. compis_master. clientes. tc. tcfans. tc. rebels,25-34
jesusencinar,idealistas,35-49
mabelbullon,valencia,35-49
monicamoro,talent girls. sherpas20. esgrima. health marketing. docs. cbs1. medicina/salud. art of fencing,35-49
carmen_rrhh,babybits. work. valencians. rrhh. friends. amigos20. country. pinkslipparty. coaching. alicante,25-34
_garii__,fans de alaguerrano,10-17
robcarballo,rsc,50-xx
micadeleonc,amigos,18-24
pcvillarcayo,equo,35-49
tomii0410,#teamuru,10-17
aliciapomares,eatsandtwittsday_mad_rrhh. directores de rrhh. charlando de social media. rhtwitt. innovation. santcugatencs. coaching. tertulias-entre-amigos,35-49
agustinbd,licenciadas/os argentina,25-34
jalguerrero,ciencia,50-xx
juanant_galindo,referentes social media. trendsetters. iecommunity. burberry regional. social media valencia. ietechstartup. cursocmupv. sm companies. politicos. seo/sem. campus party. periodistas. social media,35-49
ginesalarcon,correspondents_in_spain. juntspelsi. embassies/offices us & un,35-49
gomezdelpozuelo,"tech investors. accelerators, bas & vcs. emprendedores. forbes.women. women entrepreneurs. thirtywomen entrepreneurs. businesswomen. social media",50-xx
dosalmasunamor,my team ,18-24
cathiib,uruguay obvio. harry styles. louis tomlinson. liam payne. niall horan. zayn malik,18-24
zaii_aiilen,loss mass popuu ♥,18-24
alexissalleok,anti-corrupcin argentina. lista argentina,18-24
lutxana,"comunicación. periodistes, mitjans i notícies",25-34
jgarridoo,elche. ilicitanos. iweekend,50-xx
arangocoaching,coaching. unaactitudpositiva. encuentro rrhhmad,35-49
morenobarber,directoresmedios. scholars and savants. medios,50-xx
nagodelos,perfiles de mujeres aapp,35-49
tereamor,perspectivaswellcomm2017. women&economics. tk. desarrollo de audiencia. journalism. ofertas de trabajo. economists. gente soleada. periodistas madrid. alumni 101,35-49
tinofernandez,periodistas/comunicadores. periodistas. periodistas nacionales. periodistas. empleo y empleabilidad. medios. periodismo-comunicacion. friends. clever people. enredadores. economía. periodismo. periodismo. imprescindibles. lecturas interesantes. prensa-tv. interesante1. prensa rrhh. hr stuff. periodistas. design. eventos-org-agencias. w-d. periodistas. firmasuunidadeditorial. media-journalists. xyz. tertulias-entre-amigos. periodismo. prensa. mediascopio. periodismo. medios/periodistas. unidad editorial. negocio,35-49
carlosguadian,sesióndecontrol. xarxasocialista. oficials. gobcampes. gov20. ogd. gov. blogosfera_publica,35-49
maitefinch,siembran paz y alegría. grandes ideas valencia. superfollowers-topmention. coaching. coaching. compañeros_rrhh. formación,35-49
joanplanas,minube,25-34
felipepaullier,politica. seguidores,25-34
yamiimedinaa,my favstar.fm list,18-24
evacolladoduran,"pontenvalor madrid. #pblabday16. los de eva. empleo. encuentro rrhhmad. personal. profesionales rrhh. otros contactos. rrhh personas. social media. rrhh. community manager. socialstars. rrhh. the very best. social media y marketing. marketeras. social media y marketing. tl. libertad financiera2. socialmedia. internet. marketing. negocios. the good ones. socialmedia. recursos humanos. publicidad. socialmedia. marketing. españa. diario. rrhh estrategias. rrhh. empresas #in. rrss. rrhh. social-media-referals. zyncronizados-2. miscelanea. marketing. rrhh. favoritos. mundo digital. empleo 2.0 - interesantes. recursos humanos. redes. social media. fans. compañer@s trabajo. venca_territorio creativo. equipo redes. gastronomia y redes. comunicación 2.0. tendencias. social media. a1.-rrhh. noticias it. comunica - ceo. rrhh. lista_shotools. hr. cloud computing. rrhh, productivdad. español. interes. social media. recursoshumanos. emprendedores y cocina. rrhh: profesionales. amigos20. escriben sobre trabajo. recursos de empleo. rr.hh. interesante. ereaders. profesionales. web. comunicación. marketing online. rh. rrhh. rrhh. rrhh. redessociales. social media 2.0. empresa. marketing. rrhh. formación coaching. recursos humanos. rrhh. rrhh. rrhh-y-educación. rrhh y  gestion. rrhh. barcelona. job. rrhh. rrhh. formacion. rrhh",35-49
a_valenzuela,divulgadoras en youtube. equipo el independiente. european science marches. twistance. sciencewriters on twitter. iredes vi. museummascots. science artists. el pais corresponsales. centrosterritoriales rtve. astronauts. nyt-science-section. institucioncsic,35-49
agusvidall2,te amooooooooooooooooo!. amigaaaaaaas ♥,18-24
meluu58,casi Ángeles. famosos,10-17
perejoanmitjans,parlament2015. diputats xi legislatura. cortes2016. regidors ajuntament. twitagua,50-xx
fedepellegrini_,elcambiojusto,25-34
byimpactada,harry styles. louis tomlinson. liam payne. niall horan. zayn malik,18-24
ssdiaz19,talissaaguiar,18-24
joseplut104,quebec city. montreal. toronto. ottawa. vancouver. tiff15 fest folk,18-24
pep_jimenez,equipo de finanzas.com. bloggers. periodistas_medios. periodistas económicos. economia,35-49
crisalonsofran,businesswomen. women entrepreneurs. forbes.women. mujerespunteras,35-49
dangaer,linkedin connections,25-34
pabloformoso,reactive. uemeros. japan. raileros. suscribimos el manifiesto. manifiesto-reunion,25-34
victoriabioque,empleo nacional. prensa. tic. marketing,25-34
billiesastre,compettia team. equipo comta. equipo sm ta2013. academia ta 2013. superfollowers-topmention,35-49
pfcdgayo,authors. compsocial. folks,35-49
08brunook,estiloboca,18-24
juancarcubeiro,human age institute,50-xx
fatima_ro13,la banda de river ⚽,18-24
al3xm4cie1,younow,18-24
esperanzaguirre,nuestros concejales. periodistas y medios. sedes pp madrid,50-xx
gabiplanas_rrhh,ie on the web,35-49
melukawaii123,consumo responsable,10-17
energica,interesantes. mujeres en la red. top sevilla. periodismo_politico. congreso_x_legislatura. h25. politicos,25-34
amigerpe,marketing y seo. tweetmates. marketing. socialmedia. cms. actualidad_online. marketing. marketing,25-34
hector_cabrera_,tic,35-49
alvarezbrogan,justinfollowplease,18-24
e_valero,cursoweb20-redessociales,35-49
mrgomezponce,periodistas-elpais. edu-conferences. chicas-seo. seminario cultura web 2.0. periodistas. medios argentinos. periodismo. journalists. zaragoza,35-49
adelaidauma,endocrinologos,50-xx
flor_belieber5,justinfollowplease,10-17
anfavalok,mayo1810,18-24
manushgalvan,profesionales2.0-sm. bloggers. mis gurus particulares,25-34
rrebolledo,edtech. curso email marketing. neuromarketing specialist. mktdigital. cm. social media. e-learning-tics. redes sociales. moocs. bloggers educ/docentes. profesionales cm. social media. grupo aulacm. aula cm. aulacm. aula cm 14. aulacm16. aulacm todos. todo aulacm. grupo 15. aulacm-big list,25-34
mmmendieta,#twecos 500. periodistas de cinco días,25-34
msconcu,talent girls. positrones,35-49
martarodrigueza,inbound mk. digitaltransformation. omnicanal. innovation evangelists. inbound-english. ux,35-49
almarro1,sabien,35-49
pilarroch,"gurús del emprendimiento. era digital. social media. inversores. women entrepreneurs. forbes.women. accelerators, bas & vcs. businesswomen. innovation. entrepreneurs&investors. comunity",35-49
quiquemateuvlc,emprendedores. referentes social media. social 2.0. referentes social media,35-49
ivanpuente,us politics. atentados de bruselas. hermandades #ssanta13. escribir mejor . redacción eldiario.es. ataques en parís. semana santa de sevilla,25-34
jordimirobruix,ctos spain. mixsic. agencias-ve. team. feedtrace team,35-49
manuelgimnez,empleo nacional. tic,35-49
ailenskerlj,directioners,18-24
ejoana,economía digital. inesdi. webexpo2.0. inesdi. socialmedia. inesdi. asociados,50-xx
fernand0,diis uz pdi y pas. idia,35-49
vanis,congresoba2015. corresponsales monitoreo. cmper2013,35-49
silvinaduck,interesantes. montevideo. youtubers,18-24
silviacobo,ep en twitter. nosotros. nosotros. lista #periodismoemprende. el pais. directoresmedios. mediathinkers. uk media journos. catalan-journalists,35-49
eapesteguia,productoar. selección de voley arg. familia despeinada. integrantes de fopea. tn.com.ar. las ideas,25-34
josetrecet,soluciono problemas. contabilidad. contabilidad,35-49
