screen_name,subscriptionLists,age
alvarezbrogan,justinfollowplease,18-24
pfcdgayo,authors. compsocial. folks,35-49
_garii__,fans de alaguerrano,10-17
granero,misterios-y-varios. juegos. tecnologia,35-49
felipepaullier,politica. seguidores,25-34
jsanchezfranco,dircoms 2016-17. comunicadores. ehealth. sanidad. salud,35-49
jordimirobruix,ctos spain. mixsic. agencias-ve. team. feedtrace team,35-49
silvinaduck,interesantes. montevideo. youtubers,18-24
eblanperis,liderazgo. rsc. rrhhmad. rrhh y  gestion. empleo. talento,25-34
helenaresano,elecciones eeuu 2016,35-49
tinofernandez,periodistas/comunicadores. periodistas. periodistas nacionales. periodistas. empleo y empleabilidad. medios. periodismo-comunicacion. friends. clever people. enredadores. economía. periodismo. periodismo. imprescindibles. lecturas interesantes. prensa-tv. interesante1. prensa rrhh. hr stuff. periodistas. design. eventos-org-agencias. w-d. periodistas. firmasuunidadeditorial. media-journalists. xyz. tertulias-entre-amigos. periodismo. prensa. mediascopio. periodismo. medios/periodistas. unidad editorial. negocio,35-49
alejandroide_25,profesionales. los que leo por tweetdeck. para tweetdeck. big bang theory,25-34
littlepearlblue,find mamma mia faves. bobble1. nbefinland,10-17
agusvidall2,te amooooooooooooooooo!. amigaaaaaaas ♥,18-24
manuelgimnez,empleo nacional. tic,35-49
dangaer,linkedin connections,25-34
javierbri,customer experience. cx. socialholic. cem. contactcenter,35-49
adelaidauma,endocrinologos,65-xx
naruedyoh,publicaciones wsl. editores wsl,18-24
alexissalleok,anti-corrupcin argentina. lista argentina,18-24
tereamor,perspectivaswellcomm2017. women&economics. tk. desarrollo de audiencia. journalism. ofertas de trabajo. economists. gente soleada. periodistas madrid. alumni 101,35-49
biosistemasuy,fao twitter accounts,25-34
dosalmasunamor,my team ,18-24
ncampos,cmil3ub. e-administracion. ogov. open government. gurus,35-49
mrgomezponce,periodistas-elpais. edu-conferences. chicas-seo. seminario cultura web 2.0. periodistas. medios argentinos. periodismo. journalists. zaragoza,35-49
nagodelos,perfiles de mujeres aapp,35-49
denumalsam,mendocinos en twitter ✔,10-17
monicamoro,talent girls. sherpas20. esgrima. health marketing. docs. cbs1. medicina/salud. art of fencing,35-49
pilarroch,"gurús del emprendimiento. era digital. social media. inversores. women entrepreneurs. forbes.women. accelerators, bas & vcs. businesswomen. innovation. entrepreneurs&investors. comunity",35-49
chgarciacortes,periodistas,50-64
08brunook,estiloboca,18-24
paonesti,foolloweers (:,18-24
sorianomarina,participantesyuzz. proyectos yuzz,18-24
perezreverte,imprescindibles,50-64
biogeocarlos,personas. te conozco en persona. medioambientales,35-49
antoniorull,html5 - css3 - js. ponentes plenarios 2010. multimedia. ebe09. socialmedia. fotografos. fotografia. flickr,25-34
meluu58,casi Ángeles. famosos,10-17
pcvillarcayo,equo,35-49
javyyvarela,consigue+seguidores! ,18-24
