screen_name,subscriptionLists,age
rrebolledo,edtech. curso email marketing. neuromarketing specialist. mktdigital. cm. social media. e-learning-tics. redes sociales. moocs. bloggers educ/docentes. profesionales cm. social media. grupo aulacm. aula cm. aulacm. aula cm 14. aulacm16. aulacm todos. todo aulacm. grupo 15. aulacm-big list,25-xx
naturalvoyager,lectura recomendada. top 5k - tecnología. turismo. más cine por favor. twitteros en mallorca. amadeus on twitter. unicef. turismo. turismo. nos gusta el turismo!. turismo. hablando sobre turismo. amics. tourism bodies. travel. tourismus-int. european twitter list. countries/cites/islands. destinations marketing . travel blogs. turismo rural. ogov. turismo. tourism_colleagues. leisure/tourism,25-xx
ncampos,cmil3ub. e-administracion. ogov. open government. gurus,25-xx
manushgalvan,profesionales2.0-sm. bloggers. mis gurus particulares,25-xx
mfeijoo,correspondents_in_spain. spanish_journalists,25-xx
juancarcubeiro,human age institute,25-xx
a_valenzuela,divulgadoras en youtube. equipo el independiente. european science marches. twistance. sciencewriters on twitter. iredes vi. museummascots. science artists. el pais corresponsales. centrosterritoriales rtve. astronauts. nyt-science-section. institucioncsic,25-xx
srouvier,deportistas argentinos. mayo1810,25-xx
antoniorull,html5 - css3 - js. ponentes plenarios 2010. multimedia. ebe09. socialmedia. fotografos. fotografia. flickr,25-xx
gomezdelpozuelo,"tech investors. accelerators, bas & vcs. emprendedores. forbes.women. women entrepreneurs. thirtywomen entrepreneurs. businesswomen. social media",25-xx
maripuchi,events mice. tedxvitoriagasteiz 2018. www.ibarrondo.es. - world innovations forum. memecracia. aprendices. twistance. tedsummit 2016. dacunha. master social media Álava. tedx-ers-in-geneva. getxoblog. us national park service. inlugo. queridos científicos. . crisis comuni online. aerco. intraemprendedoras. delegados aerco-psm. ponentes políticaredes. aerco-psm. socialmedia. delegados. socialmedia. aerco. empotreitors speakers. social media . influyentes_de_twitter. molan mil. influencers. unadocenade. políticos vascos. opengoverment. dones feministes. editoriales españolas. mujeres_igualdad. oficials. euskojaurlaritza. eitb taldea - grupo. egov-ogov. politicosvascos-pp. for cm. gouvernement. world leaders. twittersferapublica. el pais. new-pol. reutilizadores opendata. socialistas vascos. info,25-xx
jsanchezfranco,dircoms 2016-17. comunicadores. ehealth. sanidad. salud,25-xx
sboxcoaching,coaching español. gente con éxito. gente-con-éxito,25-xx
naruedyoh,publicaciones wsl. editores wsl,18-24
maritriniginer,periodismo digital. productoras de cine y tv. colaboradores. fuentes. entrepreneurs i edition. tuiteatreros*. agenda de ocio. grupo master social media. apiscookeros. lorquin@s. businessangels. inversores. community managers. redacción ec. comunicadores. periodistas.es. periodistas. audiovisuales. informacion. breaking new. periodistas. videoweb. emprendimiento. cocina_gastronomia. cine. madrid. agoreros. socialmedia. cerebros. comunicacion. ponentes ebe09. periodismo. cine. comuneros. video. comunicacion-periodismo. periodismo. periodistas. spanish_journalists. imprescindibles. periodistas. medios de comunicacion. periodistas. noticias. periodismo. linkadores. informacion. periodistas. literatura. free culture forum. crossmedia. eventosfera-espanol. solofinalcut. periodistas digitales. videobloggers. audiovisuales. videocreadores. jovenesperiodistas,25-xx
mabelbullon,valencia,25-xx
