score,word
7.809039306,619272631
7.809039306,914366800
7.809039306,apptivista
7.809039306,beginagain
7.809039306,carburadio
7.809039306,coolhunter
7.809039306,csrracing
7.809039306,dejaquetebese
7.809039306,downshifting
7.809039306,ebusiness
7.809039306,guadian
7.809039306,juanmerodiovlog
7.809039306,matrixoc
7.809039306,merindades
7.809039306,moveiter
7.809039306,probetas
7.809039306,simplementetu
7.809039306,theredtour
7.809039306,vinochos
7.809039306,votodoble
7.809039306,wanegbt
7.115892125,dakar2018
7.115892125,gambaosaka
7.115892125,inteligenciasocial
7.115892125,jal
7.115892125,pinkslipparty
6.710427017,arcÃ©n
6.710427017,estepona
6.710427017,interbancario
6.710427017,nicolle
6.710427017,publicis
6.710427017,rankingvale
6.710427017,stc2000
6.422744945,liferay
6.422744945,prodigy
6.422744945,retweeted
6.422744945,saludosss
6.199601394,btc
6.199601394,datosabiertos
6.199601394,unfollows
6.017279837,ausopen
6.017279837,osaka
6.017279837,voi
5.863129157,aceptados
5.863129157,retwitteados
5.863129157,todorojo
5.611814729,gandia
5.611814729,ogov
5.611814729,opendata
5.611814729,reportando
5.506454213,minoria
5.506454213,runtastic
5.506454213,vamosrojo
5.411144033,retwitteado
5.324132656,estadisticas
5.244089949,ranchos
5.169981976,lptm
5.169981976,ui
5.100989105,ayudaste
5.100989105,marbella
5.100989105,puntadeleste
5.036450584,platÃ_
5.036450584,unfollowers
4.975825962,daily
4.975825962,oc
4.975825962,superhÃ©roes
4.918667548,bolivar
4.918667548,olavarrÃ_a
4.864600327,coworking
4.864600327,marcapersonal
4.864600327,others
4.864600327,sanlorenzo
4.813307032,transformaciondigital
4.764516868,apartamento
4.764516868,bce
4.764516868,trÃ¡iler
4.717996853,morning
4.717996853,publicados
4.717996853,tuitutil
4.67354509,resiliencia
4.67354509,subrayado
4.67354509,tattoo
4.67354509,wimbledon
4.630985476,lavalleja
4.630985476,mt
4.630985476,piriÃ¡polis
4.590163481,rre
4.590163481,seguirnos
4.550942768,holan
4.550942768,piriapolis
4.550942768,viÃ©ndolo
4.51320244,matrix
4.476834796,masterchefuy
4.441743476,atleti
4.407841924,cnco
4.407841924,department
4.407841924,jugarÃ¡
4.375052102,cÃ_mic
4.375052102,rally
4.343303403,parlament
4.312531745,aguada
4.312531745,ahrre
4.312531745,inmobiliaria
4.312531745,pcia
4.312531745,wordpress
4.282678781,animaciÃ_n
4.282678781,bendiciones
