ageNaiveBayes,ageRandomForest,id,realAge
18-24,18-24,ralphalmuser,18-24
35-49,35-49,naturalvoyager,65-xx
35-49,35-49,mistrals,65-xx
35-49,35-49,mfeijoo,35-49
35-49,35-49,a_valenzuela,35-49
35-49,25-34,antoniorull,25-34
35-49,35-49,alberto_blanco,35-49
35-49,35-49,ser_seo,35-49
35-49,35-49,marta_dominguez,35-49
35-49,35-49,javierbri,35-49
35-49,35-49,rafadiaz1,25-34
35-49,35-49,mateodomenech,50-64
35-49,35-49,thffernando,35-49
35-49,35-49,jgarridoo,50-64
35-49,35-49,sandra_garciaf,35-49
35-49,35-49,pep_jimenez,35-49
35-49,35-49,joancmarch,50-64
35-49,35-49,lopezdoriga,65-xx
35-49,35-49,diegocobelo,25-34
35-49,25-34,ivanpuente,25-34
35-49,35-49,jesusencinar,35-49
18-24,35-49,jordimirobruix,35-49
35-49,35-49,pepecuesta,35-49
35-49,35-49,juancmselma,35-49
35-49,35-49,morenobarber,50-64
35-49,35-49,monicamoro,35-49
35-49,35-49,carmen_rrhh,25-34
35-49,35-49,susannagriso,35-49
35-49,35-49,joanplanas,25-34
35-49,35-49,victoriabioque,25-34
18-24,18-24,milaximenez,50-64
18-24,35-49,jesusgallent,25-34
35-49,35-49,corallarrosa,35-49
18-24,18-24,almarro1,35-49
18-24,18-24,catyforteza,25-34
18-24,35-49,miss_belmont,18-24
35-49,35-49,billiesastre,35-49
35-49,35-49,lourdesverger,25-34
18-24,35-49,_anamilan_,35-49
35-49,35-49,wellcomm,50-64
35-49,35-49,albeitar,50-64
35-49,35-49,manuelgimnez,35-49
18-24,18-24,elissambura,35-49
18-24,35-49,el_pakozoico,25-34
35-49,35-49,luisdiazdeldedo,25-34
35-49,25-34,mlaudisio,25-34
35-49,35-49,luisgosalbez,35-49
35-49,35-49,e_valero,35-49
35-49,35-49,juanlusanchez,25-34
35-49,35-49,ejoana,50-64
35-49,35-49,monicadeza,35-49
35-49,35-49,juancbarcelo,35-49
35-49,35-49,ingeosolum,35-49
35-49,25-34,amigerpe,25-34
35-49,35-49,tinofernandez,35-49
18-24,35-49,carmenalcayde,35-49
18-24,18-24,giulianodanok,18-24
18-24,18-24,natiferreirac,18-24
18-24,18-24,rosariomagnou,25-34
18-24,18-24,mmarcosgodoy97,18-24
18-24,18-24,aguuus28,18-24
18-24,18-24,jhohanaaaam,10-17
18-24,18-24,jul14nbarissani,18-24
25-34,18-24,camfla,50-64
18-24,18-24,joakomirasol,18-24
18-24,18-24,fraancodaaniel1,10-17
18-24,18-24,francoserra17,18-24
18-24,18-24,paulapinzone,18-24
18-24,18-24,rociovecino_18,18-24
18-24,18-24,facusuarez08,18-24
18-24,18-24,carlosgomezuy,10-17
18-24,18-24,anitafraga,18-24
18-24,18-24,lucianovillalv1,10-17
