ageNaiveBayes,ageRandomForest,ageSGD,ageSVM,id,realAge
10-17,10-17,10-17,10-17,ampii_sola,10-17
10-17,18-24,10-17,10-17,_brisa17abigail,10-17
10-17,10-17,10-17,10-17,ro_castiglioni,10-17
10-17,10-17,10-17,10-17,julidorado15,10-17
18-24,10-17,18-24,18-24,tomii0410,10-17
10-17,10-17,10-17,10-17,lucasanhornok,10-17
10-17,18-24,10-17,10-17,faccumu,10-17
10-17,10-17,10-17,10-17,gonzamederos1,10-17
10-17,10-17,18-24,10-17,santirayu,10-17
25-34,25-34,35-49,35-49,elenavama,18-24
10-17,10-17,18-24,10-17,roburato1,18-24
10-17,18-24,18-24,18-24,florburelli,18-24
10-17,10-17,18-24,10-17,roohernande,18-24
10-17,10-17,10-17,10-17,agus_gonzalez26,18-24
10-17,10-17,10-17,10-17,elianamartin8,18-24
50-xx,50-xx,50-xx,50-xx,institutoui,18-24
10-17,10-17,18-24,18-24,valentinaaa1297,18-24
10-17,10-17,10-17,10-17,mikaag_smile,18-24
50-xx,35-49,35-49,35-49,maria_vega_,25-34
25-34,25-34,35-49,35-49,ojecua,25-34
25-34,25-34,35-49,35-49,shora,25-34
25-34,50-xx,25-34,25-34,claudiogarcia82,25-34
25-34,35-49,25-34,25-34,ivanpuente,25-34
35-49,35-49,35-49,35-49,carmen_rrhh,25-34
25-34,25-34,25-34,25-34,jesusgallent,25-34
25-34,25-34,25-34,25-34,catyforteza,25-34
25-34,50-xx,35-49,35-49,anavidalegea,25-34
35-49,35-49,35-49,35-49,eblanperis,25-34
25-34,25-34,25-34,25-34,respetocanas,25-34
50-xx,50-xx,50-xx,50-xx,mmendizabal1,35-49
50-xx,50-xx,50-xx,50-xx,olgarodriguezfr,35-49
25-34,25-34,35-49,35-49,mfeijoo,35-49
25-34,25-34,25-34,25-34,srouvier,35-49
25-34,35-49,50-xx,25-34,ser_seo,35-49
35-49,35-49,50-xx,50-xx,marta_dominguez,35-49
25-34,25-34,35-49,35-49,a_valenzuela,35-49
25-34,25-34,25-34,25-34,maripuchi,35-49
50-xx,50-xx,50-xx,50-xx,jsanchezfranco,35-49
35-49,35-49,35-49,35-49,sboxcoaching,35-49
35-49,50-xx,35-49,35-49,mabelbullon,35-49
50-xx,25-34,50-xx,50-xx,carlosecue,35-49
50-xx,50-xx,50-xx,50-xx,emiliodebenito,35-49
50-xx,50-xx,50-xx,50-xx,diegoisabel1,35-49
25-34,50-xx,25-34,25-34,helenaresano,35-49
35-49,50-xx,35-49,35-49,sandra_garciaf,35-49
25-34,25-34,25-34,25-34,globalbrand_,35-49
25-34,35-49,25-34,25-34,quiquemateuvlc,35-49
50-xx,50-xx,50-xx,50-xx,mistrals,50-xx
35-49,50-xx,35-49,35-49,juancarcubeiro,50-xx
50-xx,35-49,35-49,35-49,gomezdelpozuelo,50-xx
50-xx,50-xx,50-xx,50-xx,juantorreslopez,50-xx
50-xx,50-xx,50-xx,50-xx,perezreverte,50-xx
50-xx,35-49,50-xx,50-xx,anamariallopis,50-xx
50-xx,50-xx,50-xx,50-xx,rodriguezbraun,50-xx
50-xx,50-xx,50-xx,50-xx,esperanzaguirre,50-xx
50-xx,50-xx,50-xx,50-xx,juanjomorodo,50-xx
18-24,18-24,18-24,18-24,camfla,50-xx
25-34,50-xx,25-34,25-34,publicisimpetu,50-xx
10-17,10-17,18-24,10-17,ksergio80,50-xx
