ageNaiveBayes,ageRandomForest,id,realAge
10-17,10-17,ampii_sola,10-17
10-17,10-17,_brisa17abigail,10-17
10-17,10-17,ro_castiglioni,10-17
10-17,10-17,julidorado15,10-17
10-17,10-17,tomii0410,10-17
10-17,10-17,lucasanhornok,10-17
35-49,10-17,faccumu,10-17
10-17,10-17,gonzamederos1,10-17
10-17,10-17,santirayu,10-17
10-17,25-34,elenavama,18-24
10-17,10-17,roburato1,18-24
10-17,18-24,florburelli,18-24
10-17,10-17,roohernande,18-24
10-17,10-17,agus_gonzalez26,18-24
10-17,18-24,elianamartin8,18-24
18-24,50-xx,institutoui,18-24
10-17,10-17,valentinaaa1297,18-24
10-17,10-17,mikaag_smile,18-24
35-49,50-xx,maria_vega_,25-34
25-34,25-34,ojecua,25-34
25-34,35-49,shora,25-34
18-24,50-xx,claudiogarcia82,25-34
18-24,25-34,ivanpuente,25-34
35-49,50-xx,carmen_rrhh,25-34
18-24,25-34,jesusgallent,25-34
35-49,10-17,catyforteza,25-34
35-49,50-xx,anavidalegea,25-34
35-49,35-49,eblanperis,25-34
18-24,25-34,respetocanas,25-34
50-xx,25-34,mmendizabal1,35-49
35-49,50-xx,olgarodriguezfr,35-49
25-34,35-49,mfeijoo,35-49
18-24,25-34,srouvier,35-49
35-49,35-49,ser_seo,35-49
18-24,25-34,marta_dominguez,35-49
35-49,25-34,a_valenzuela,35-49
18-24,25-34,maripuchi,35-49
18-24,50-xx,jsanchezfranco,35-49
35-49,50-xx,sboxcoaching,35-49
25-34,50-xx,mabelbullon,35-49
50-xx,35-49,carlosecue,35-49
25-34,35-49,emiliodebenito,35-49
35-49,50-xx,diegoisabel1,35-49
35-49,50-xx,helenaresano,35-49
35-49,50-xx,sandra_garciaf,35-49
25-34,35-49,globalbrand_,35-49
25-34,50-xx,quiquemateuvlc,35-49
35-49,50-xx,mistrals,50-xx
25-34,50-xx,juancarcubeiro,50-xx
50-xx,35-49,gomezdelpozuelo,50-xx
50-xx,50-xx,juantorreslopez,50-xx
50-xx,50-xx,perezreverte,50-xx
35-49,35-49,anamariallopis,50-xx
35-49,50-xx,rodriguezbraun,50-xx
50-xx,50-xx,esperanzaguirre,50-xx
25-34,35-49,juanjomorodo,50-xx
10-17,18-24,camfla,50-xx
35-49,50-xx,publicisimpetu,50-xx
10-17,50-xx,ksergio80,50-xx
