ageNaiveBayes,ageRandomForest,ageSGD,ageSVM,id,realAge
35-49,35-49,35-49,18-24,pachogruas,25-34
25-34,35-49,10-17,18-24,naturalvoyager,50-xx
35-49,35-49,10-17,18-24,isanseba,50-xx
35-49,35-49,10-17,18-24,juancarcubeiro,50-xx
25-34,35-49,10-17,18-24,antoniorull,25-34
10-17,18-24,35-49,18-24,angelmgtech,25-34
35-49,35-49,10-17,18-24,ser_seo,35-49
25-34,35-49,10-17,18-24,srouvier,35-49
25-34,35-49,10-17,18-24,marta_dominguez,35-49
35-49,35-49,10-17,18-24,sorianomarina,18-24
25-34,35-49,10-17,18-24,marielabejar,35-49
35-49,35-49,10-17,18-24,vanis,35-49
35-49,18-24,10-17,18-24,titatorro,18-24
25-34,35-49,10-17,18-24,jgarridoo,50-xx
25-34,35-49,10-17,18-24,pep_jimenez,35-49
35-49,35-49,10-17,18-24,silviacobo,35-49
35-49,35-49,35-49,18-24,sandra_garciaf,35-49
25-34,35-49,10-17,18-24,pabloformoso,25-34
10-17,25-34,10-17,18-24,heteronima,25-34
25-34,35-49,10-17,18-24,globalbrand_,35-49
25-34,35-49,10-17,18-24,julietabolullo,25-34
35-49,35-49,10-17,18-24,pepecuesta,35-49
10-17,25-34,10-17,18-24,mrgomezponce,35-49
25-34,25-34,10-17,18-24,juancmselma,35-49
35-49,35-49,10-17,18-24,mranera,50-xx
10-17,35-49,25-34,18-24,lutxana,25-34
50-xx,25-34,50-xx,18-24,milaximenez,50-xx
25-34,50-xx,10-17,18-24,hector_cabrera_,35-49
35-49,35-49,10-17,18-24,anamariallopis,50-xx
35-49,35-49,10-17,18-24,nataliagomez_es,35-49
18-24,35-49,10-17,18-24,jesusgallent,25-34
25-34,35-49,10-17,18-24,energica,25-34
35-49,35-49,10-17,18-24,aliciapomares,35-49
50-xx,35-49,50-xx,18-24,chapoypati,50-xx
35-49,35-49,10-17,18-24,mgdelpozuelo,35-49
18-24,25-34,10-17,18-24,pcvillarcayo,35-49
35-49,35-49,10-17,18-24,charoizquierdo,50-xx
25-34,35-49,10-17,18-24,gomezrufo,50-xx
18-24,35-49,10-17,18-24,factoriagris,35-49
35-49,35-49,10-17,18-24,rodriguezbraun,50-xx
25-34,35-49,10-17,18-24,mlaudisio,25-34
35-49,25-34,10-17,18-24,manuelgimnez,35-49
25-34,35-49,10-17,18-24,el_pakozoico,25-34
