ageNaiveBayes,ageRandomForest,id,realAge
18-24,18-24,ralphalmuser,18-24
18-24,25-xx,naturalvoyager,25-xx
25-xx,25-xx,mistrals,25-xx
18-24,25-xx,mfeijoo,25-xx
25-xx,25-xx,a_valenzuela,25-xx
25-xx,25-xx,alberto_blanco,25-xx
25-xx,25-xx,ser_seo,25-xx
25-xx,25-xx,gomezdelpozuelo,25-xx
18-24,25-xx,marta_dominguez,25-xx
18-24,25-xx,javierbri,25-xx
18-24,25-xx,rafadiaz1,25-xx
18-24,25-xx,mateodomenech,25-xx
18-24,25-xx,thffernando,25-xx
18-24,25-xx,jgarridoo,25-xx
25-xx,25-xx,sandra_garciaf,25-xx
18-24,25-xx,pep_jimenez,25-xx
18-24,25-xx,joancmarch,25-xx
25-xx,25-xx,lopezdoriga,25-xx
25-xx,25-xx,diegocobelo,25-xx
18-24,25-xx,ivanpuente,25-xx
25-xx,25-xx,jesusencinar,25-xx
18-24,25-xx,jordimirobruix,25-xx
25-xx,25-xx,pepecuesta,25-xx
18-24,25-xx,juancmselma,25-xx
18-24,25-xx,monicamoro,25-xx
25-xx,25-xx,carmen_rrhh,25-xx
18-24,25-xx,joanplanas,25-xx
18-24,25-xx,victoriabioque,25-xx
25-xx,25-xx,milaximenez,25-xx
18-24,25-xx,jesusgallent,25-xx
18-24,25-xx,leonardpera,25-xx
18-24,25-xx,corallarrosa,25-xx
10-17,25-xx,almarro1,25-xx
25-xx,25-xx,miss_belmont,18-24
18-24,25-xx,billiesastre,25-xx
25-xx,25-xx,cris_villanueva,25-xx
18-24,25-xx,lourdesverger,25-xx
25-xx,25-xx,_anamilan_,25-xx
25-xx,25-xx,wellcomm,25-xx
18-24,25-xx,albeitar,25-xx
10-17,25-xx,manuelgimnez,25-xx
18-24,25-xx,elissambura,25-xx
25-xx,25-xx,luisdiazdeldedo,25-xx
18-24,25-xx,mlaudisio,25-xx
18-24,25-xx,luisgosalbez,25-xx
10-17,25-xx,e_valero,25-xx
25-xx,25-xx,juanlusanchez,25-xx
25-xx,25-xx,ejoana,25-xx
25-xx,25-xx,monicadeza,25-xx
18-24,25-xx,juancbarcelo,25-xx
