ageNaiveBayes,ageRandomForest,ageSGD,ageSVM,id,realAge
18-24,18-24,18-24,18-24,ralphalmuser,18-24
18-24,25-xx,18-24,18-24,naturalvoyager,25-xx
25-xx,25-xx,25-xx,18-24,mistrals,25-xx
18-24,25-xx,25-xx,18-24,mfeijoo,25-xx
25-xx,25-xx,25-xx,18-24,a_valenzuela,25-xx
25-xx,25-xx,25-xx,18-24,alberto_blanco,25-xx
25-xx,25-xx,25-xx,18-24,ser_seo,25-xx
25-xx,25-xx,25-xx,18-24,gomezdelpozuelo,25-xx
18-24,25-xx,18-24,18-24,marta_dominguez,25-xx
18-24,25-xx,18-24,18-24,javierbri,25-xx
18-24,25-xx,25-xx,18-24,rafadiaz1,25-xx
18-24,25-xx,25-xx,18-24,mateodomenech,25-xx
18-24,25-xx,25-xx,18-24,thffernando,25-xx
18-24,25-xx,25-xx,18-24,jgarridoo,25-xx
25-xx,25-xx,18-24,18-24,sandra_garciaf,25-xx
18-24,25-xx,18-24,18-24,pep_jimenez,25-xx
18-24,25-xx,25-xx,18-24,joancmarch,25-xx
25-xx,25-xx,25-xx,18-24,lopezdoriga,25-xx
25-xx,25-xx,25-xx,18-24,diegocobelo,25-xx
18-24,25-xx,25-xx,18-24,ivanpuente,25-xx
25-xx,25-xx,25-xx,18-24,jesusencinar,25-xx
18-24,25-xx,18-24,18-24,jordimirobruix,25-xx
25-xx,25-xx,25-xx,18-24,pepecuesta,25-xx
18-24,25-xx,18-24,18-24,juancmselma,25-xx
18-24,25-xx,25-xx,18-24,monicamoro,25-xx
25-xx,25-xx,25-xx,18-24,carmen_rrhh,25-xx
18-24,25-xx,18-24,18-24,joanplanas,25-xx
18-24,25-xx,25-xx,18-24,victoriabioque,25-xx
25-xx,25-xx,25-xx,18-24,milaximenez,25-xx
18-24,18-24,18-24,18-24,jesusgallent,25-xx
18-24,25-xx,18-24,18-24,leonardpera,25-xx
18-24,25-xx,25-xx,18-24,corallarrosa,25-xx
10-17,25-xx,10-17,18-24,almarro1,25-xx
25-xx,25-xx,25-xx,18-24,miss_belmont,18-24
18-24,25-xx,25-xx,18-24,billiesastre,25-xx
25-xx,25-xx,25-xx,18-24,cris_villanueva,25-xx
18-24,25-xx,18-24,18-24,lourdesverger,25-xx
25-xx,25-xx,25-xx,18-24,_anamilan_,25-xx
25-xx,25-xx,25-xx,18-24,wellcomm,25-xx
18-24,25-xx,18-24,18-24,albeitar,25-xx
10-17,25-xx,25-xx,18-24,manuelgimnez,25-xx
18-24,25-xx,25-xx,18-24,elissambura,25-xx
25-xx,25-xx,25-xx,18-24,luisdiazdeldedo,25-xx
18-24,25-xx,18-24,18-24,mlaudisio,25-xx
18-24,25-xx,25-xx,18-24,luisgosalbez,25-xx
10-17,25-xx,25-xx,18-24,e_valero,25-xx
25-xx,25-xx,25-xx,18-24,juanlusanchez,25-xx
25-xx,25-xx,25-xx,18-24,ejoana,25-xx
25-xx,25-xx,25-xx,18-24,monicadeza,25-xx
18-24,25-xx,25-xx,18-24,juancbarcelo,25-xx
18-24,25-xx,25-xx,18-24,ingeosolum,25-xx
18-24,25-xx,18-24,18-24,amigerpe,25-xx
25-xx,25-xx,25-xx,18-24,tinofernandez,25-xx
10-17,18-24,25-xx,18-24,giulianodanok,18-24
10-17,18-24,18-24,18-24,natiferreirac,18-24
10-17,25-xx,10-17,18-24,rosariomagnou,25-xx
10-17,18-24,10-17,18-24,mmarcosgodoy97,18-24
10-17,18-24,18-24,18-24,aguuus28,18-24
10-17,18-24,18-24,18-24,jhohanaaaam,10-17
18-24,18-24,18-24,18-24,jul14nbarissani,18-24
10-17,25-xx,18-24,18-24,camfla,25-xx
18-24,18-24,18-24,18-24,fraancodaaniel1,10-17
18-24,18-24,18-24,18-24,francoserra17,18-24
18-24,18-24,18-24,18-24,paulapinzone,18-24
18-24,18-24,10-17,18-24,neverlandlss,10-17
18-24,18-24,18-24,18-24,facusuarez08,18-24
10-17,25-xx,18-24,18-24,carlosgomezuy,10-17
10-17,18-24,10-17,18-24,anitafraga,18-24
10-17,18-24,18-24,18-24,lucianovillalv1,10-17
10-17,18-24,18-24,18-24,manu_zarzoso,18-24
10-17,18-24,10-17,18-24,alerojas1995,18-24
