ageNaiveBayes,ageRandomForest,id,realAge
25-34,35-49,ralphalmuser,18-24
50-64,35-49,mrtfernandez,35-49
35-49,35-49,olgarodriguezfr,35-49
35-49,35-49,vigelacoaching,35-49
35-49,35-49,mfeijoo,35-49
35-49,25-34,marta_dominguez,35-49
35-49,35-49,luistomala,25-34
35-49,18-24,chgarciacortes,50-64
35-49,35-49,maitefinch,35-49
35-49,35-49,rafadiaz1,25-34
50-64,35-49,mateodomenech,50-64
25-34,18-24,vanis,35-49
35-49,35-49,thffernando,35-49
50-64,35-49,pfcdgayo,35-49
50-64,35-49,helenaresano,35-49
35-49,35-49,jgarridoo,50-64
50-64,35-49,pep_jimenez,35-49
35-49,35-49,joancmarch,50-64
25-34,18-24,etnika,25-34
35-49,35-49,diegocobelo,25-34
25-34,35-49,julietabolullo,25-34
35-49,35-49,jesusencinar,35-49
35-49,35-49,morenobarber,50-64
35-49,35-49,evacolladoduran,35-49
35-49,35-49,lutxana,25-34
25-34,18-24,ebdtraining,25-34
50-64,35-49,petezin,25-34
35-49,35-49,clementealvarez,35-49
50-64,35-49,albertoartero,35-49
35-49,35-49,joanplanas,25-34
35-49,35-49,hector_cabrera_,35-49
35-49,35-49,energica,25-34
35-49,18-24,granero,35-49
35-49,35-49,mgdelpozuelo,35-49
35-49,35-49,catyforteza,25-34
35-49,35-49,msconcu,35-49
35-49,35-49,billiesastre,35-49
18-24,35-49,sergeyodintsov,18-24
35-49,35-49,charoizquierdo,50-64
50-64,35-49,perejoanmitjans,50-64
18-24,25-34,_anamilan_,35-49
35-49,35-49,wellcomm,50-64
50-64,35-49,rodriguezbraun,65-xx
35-49,35-49,gomezrufo,50-64
35-49,35-49,manuelgimnez,35-49
25-34,18-24,elissambura,35-49
35-49,35-49,esperanzaguirre,50-64
35-49,35-49,e_valero,35-49
25-34,35-49,cutefilm,25-34
35-49,35-49,alesonline,25-34
35-49,35-49,adelaidauma,65-xx
35-49,35-49,teresa_perales,35-49
50-64,35-49,hacheromero,35-49
35-49,35-49,carmenalcayde,35-49
18-24,18-24,mlpassio,35-49
18-24,18-24,anttomartina,18-24
10-17,18-24,dianamateos10,10-17
10-17,18-24,natalia62936723,10-17
10-17,18-24,lucrerusa2,10-17
