ageNaiveBayes,ageRandomForest,id,realAge,bayes,forest
18-24,35-49,pachogruas,25-34,FALSE,FALSE
35-49,35-49,vigelacoaching,35-49,TRUE,TRUE
18-24,35-49,ncampos,35-49,FALSE,TRUE
25-34,35-49,manushgalvan,25-34,TRUE,FALSE
50-64,35-49,srouvier,35-49,FALSE,TRUE
18-24,35-49,juanma_nieves,25-34,FALSE,FALSE
25-34,35-49,ser_seo,35-49,FALSE,TRUE
18-24,35-49,anablanco_tve,50-64,FALSE,FALSE
35-49,35-49,luistomala,25-34,FALSE,FALSE
25-34,35-49,maitefinch,35-49,FALSE,TRUE
50-64,50-64,carlosecue,35-49,FALSE,FALSE
35-49,35-49,oscargcervella,35-49,TRUE,TRUE
35-49,35-49,nagodelos,35-49,TRUE,TRUE
18-24,35-49,ginesalarcon,35-49,FALSE,TRUE
65-xx,35-49,prodigy_man,35-49,FALSE,TRUE
35-49,35-49,thffernando,35-49,TRUE,TRUE
18-24,35-49,helenaresano,35-49,FALSE,TRUE
35-49,35-49,joancmarch,50-64,FALSE,FALSE
50-64,35-49,lopezdoriga,65-xx,FALSE,FALSE
18-24,35-49,julietabolullo,25-34,FALSE,FALSE
18-24,35-49,yoleidycarvajal,25-34,FALSE,FALSE
35-49,35-49,monicamoro,35-49,TRUE,TRUE
35-49,35-49,elenhitaes,35-49,TRUE,TRUE
25-34,35-49,ebdtraining,25-34,TRUE,FALSE
25-34,35-49,ramirofortea,35-49,FALSE,TRUE
50-64,35-49,petezin,25-34,FALSE,FALSE
18-24,35-49,elenavama,18-24,TRUE,FALSE
25-34,35-49,joanplanas,25-34,TRUE,FALSE
35-49,35-49,hector_cabrera_,35-49,TRUE,TRUE
50-64,35-49,leonardpera,35-49,FALSE,TRUE
35-49,35-49,pilarajev,35-49,TRUE,TRUE
18-24,35-49,energica,25-34,FALSE,FALSE
35-49,35-49,mgdelpozuelo,35-49,TRUE,TRUE
18-24,35-49,catyforteza,25-34,FALSE,FALSE
25-34,35-49,diegolleo,25-34,TRUE,FALSE
25-34,35-49,respetocanas,25-34,TRUE,FALSE
25-34,35-49,perejoanmitjans,50-64,FALSE,FALSE
18-24,35-49,_anamilan_,35-49,FALSE,TRUE
35-49,35-49,mlaudisio,25-34,FALSE,FALSE
25-34,35-49,acliment,35-49,FALSE,TRUE
25-34,35-49,cutefilm,25-34,TRUE,FALSE
18-24,35-49,auroraferrer,25-34,FALSE,FALSE
35-49,35-49,monicadeza,35-49,TRUE,TRUE
25-34,35-49,hacheromero,35-49,FALSE,TRUE
25-34,35-49,amigerpe,25-34,TRUE,FALSE
18-24,35-49,carmenalcayde,35-49,FALSE,TRUE
35-49,35-49,martarodrigueza,35-49,TRUE,TRUE
,,,,,
,,,,19 predictions OK,24 predictions OK
